Date,ODA/SUR_LE_Value,ODA/SUR_LP_Value,ODA/SUR_PPPGDP_Value,ODA/SUR_BCA_NGDPD_Value,ODA/SUR_TX_RPCH_Value,ODA/SUR_TXG_RPCH_Value,ODA/SUR_TM_RPCH_Value,ODA/SUR_TMG_RPCH_Value,ODA/SUR_GGXWDG_NGDP_Value,ODA/SUR_GGXCNL_NGDP_Value,ODA/SUR_GGXONLB_NGDP_Value,ODA/SUR_GGR_NGDP_Value,ODA/SUR_GGX_NGDP_Value,ODA/SUR_PPPEX_Value,ODA/SUR_PCPIPCH_Value,ODA/SUR_PCPIEPCH_Value,ODA/SUR_PCPI_Value,ODA/SUR_PCPIE_Value,ODA/SUR_PPPSH_Value,ODA/SUR_LUR_Value
2006-12-31,,0.010020040080160001,0.090156220591003,-2.2797501142770003,-1.6028600663855002,-1.6317994654338,-1.8732883926691002,-1.7340934248395,-0.16906487292395997,-2.0676084762866003,1.7408207343413,0.013452483905064,-0.081128181609722,0.082680591818973,-0.2029897718332,0.44038538739462,0.11142986476546,0.14351836134216,0.0,0.10799350415013001
2007-12-31,,0.011904761904761998,0.078901933701657,0.31575187522324,-1.2226775956284,-1.2557359554843999,-1.2128512845254,-1.1982568835007,-0.27490089714166,1.0765595463138,0.35342789598109,0.11197496918555001,0.061090037931723,0.036977491961415,-0.40599479493853,-0.41144091415831,0.06619896855256299,0.08446564469999099,0.0,-0.130201123687
2008-12-31,,0.013725490196078001,0.061929908785405996,-0.1683105601303,1.2786763338911002,1.1640834575261,1.7047740473155,2.1122604198357,-0.1000172641998,-0.27127901684115,-0.36914119359534003,0.016030013642565,0.045672624647225005,0.13255813953488,1.2551744976583001,0.14170711495205,0.14926513422402,0.09643919621835699,0.0,-0.12366598015353
2009-12-31,,0.013539651837523998,0.037974683544304,-0.6875204003916899,-1.2103287917109,-1.4087872736036997,-0.45257424186875,-0.11143695014662999,-0.0054990728307436,-2.4803247970018996,-1.5676049838486001,0.06205941591138,0.24515316450002,0.05681040383299099,-0.9995980438132199,-0.8618830360846099,5.8167072451167e-05,0.013316687473991002,0.0,-0.036641384467471
2010-12-31,,0.013358778625953999,0.054878048780488,2.9679665738162,-4.1889061287819995,-4.1116913746631,-1.8376387294298,-1.7439493949395002,0.18780942583423998,0.29029535864979,0.80325203252033,-0.10209000039509,-0.068494635309418,0.068652849740933,1147.0,6.7635135135135,0.06887827170752,0.10341273100616001,0.0,-0.16123308937679998
2011-12-31,,0.016949152542373,0.074731626754748,-0.49499824499825,-1.5006690183676001,-1.1320448270261,-2.1123929183324,-1.3348613678373,0.1024142037458,-1.1706998037933,-1.6776375112714,0.18893826725920998,0.027690517742874,0.10666666666666999,1.5727351916376,0.47916062276376004,0.17720451338819002,0.15296578470379,0.0,0.059492332099418
2012-12-31,,0.0037037037037037,0.06671788961454701,-0.40973066898349003,-3.2874149659864,-5.5481754817548,0.9853167676352801,4.0203135349967,0.09221251104782499,-8.6149425287356,-2.9800399201597,-0.040264979090337,0.12864636401374002,0.047097480832421,-0.71745386829186,-0.7142390167364,0.050070987552415,0.043708438246498005,0.125,0.060643873221862
2013-12-31,,0.0092250922509225,0.056542617046819,-2.1571975272298998,-0.9112055231014301,-1.0048679347336,-0.70669769847427,-0.56902845582091,0.33811364862435,0.71169811320755,0.81720430107527,-0.081556318204604,0.023873211180955003,-0.012029288702928999,-0.61593768723787,-0.8654770075497601,0.019233732136400002,0.0058796239020166,0.0,0.0
2014-12-31,,0.010968921389396999,0.049880695375525995,-0.08776392775375201,-2.5633971291866002,37.0,-2.1467113383883,-1.3281967547709,0.12457584411221001,-0.48721340388007,-0.53014053254438,0.033378117390208996,-0.08229377571680499,-0.0031762837480148,0.34789391575663,5.4557823129252006,0.025919938794146,0.037964953062687004,0.0,0.050352941176470996
2015-12-31,,0.0090415913200723,0.056926406926407006,0.032069157836029,-3.0864575363427997,-2.4264132553606,-2.1074888512994,-2.9430970149254,0.079616407253607,-0.15735167669819,-0.23770169224715,0.017104782025758998,-0.0045548359547363,0.014338821030271003,0.34259259259259,-0.16675447839831,0.034797356218839996,0.031629182860935,0.0,0.0
2016-12-31,,0.0089605734767023,0.061847225066556995,-0.24560929478519,-0.7854785478547901,-0.8226853433549699,-0.8733685087475699,-1.029764762362,0.1006973269135,-0.024489795918367002,-0.059370160041300996,-0.023607893265159,-0.023700579109172996,0.0068062827225132,-0.11235632183908001,-0.047107176730952,0.030889848485729,0.030145443581387,0.0,0.0
2017-12-31,,0.0088809946714032,0.067213114754098,-1.1887535816619,24.169230769231,29.564547206166,5.6458333333333,-37.043010752688,-0.0027151368881515,-0.08263598326359799,-0.23051591657519002,-0.027492533649716,-0.033283292446267,0.0062402496099844,-0.011330527678861,0.026542800265427994,0.030542119090304003,0.030941370284577004,0.0,0.0
2018-12-31,,0.0088028169014085,0.07183518568717799,0.39848197343453995,-0.66951915240424,-0.6731387505516,-0.032172908760931,-0.025954653937947,-0.014822657490736,-0.12390725959711,-0.19686162624822,0.0074039796390559,-0.0056813877736536,0.0067183462532299,-0.0088408644400785,-0.043632837750485,0.030263327051267996,0.029588230681668,0.0,0.0
2019-12-31,,0.0069808027923211,0.065840499072669,0.7204884667571201,-0.024866420057542003,-0.022179363548697997,-0.09495397204227699,-0.10551301684533,-0.011284255776463999,-0.026030368763558,-0.023978685612788996,0.0020879442101307,-0.00034283102239831,0.0071868583162218,-0.0059464816650149,0.03345724907063201,0.030088542565477997,0.030584107608997997,0.0,0.0
