Date,ODA/ZAF_LE_Value,ODA/ZAF_LP_Value,ODA/ZAF_PPPGDP_Value,ODA/ZAF_BCA_NGDPD_Value,ODA/ZAF_TX_RPCH_Value,ODA/ZAF_TXG_RPCH_Value,ODA/ZAF_TM_RPCH_Value,ODA/ZAF_TMG_RPCH_Value,ODA/ZAF_GGXWDG_NGDP_Value,ODA/ZAF_GGXWDN_NGDP_Value,ODA/ZAF_GGXCNL_NGDP_Value,ODA/ZAF_GGR_NGDP_Value,ODA/ZAF_GGSB_NPGDP_Value,ODA/ZAF_GGX_NGDP_Value,ODA/ZAF_NGSD_NGDP_Value,ODA/ZAF_PPPEX_Value,ODA/ZAF_PCPIPCH_Value,ODA/ZAF_PCPIEPCH_Value,ODA/ZAF_PCPI_Value,ODA/ZAF_PCPIE_Value,ODA/ZAF_PPPSH_Value,ODA/ZAF_NID_NGDP_Value,ODA/ZAF_LUR_Value
2005-12-31,,0.013207426784916999,0.08664035055951899,0.14299835255354001,2.0243558065655,1.1168831168831002,-0.29849110136704,-0.34193908913104,-0.074768699141679,-0.14594687134419,-0.71452009844135,0.049379299438602,-0.72938689217759,0.014257156866443,-0.036635638297872,0.021656423763535,1.4375,0.035610885929357,0.033925686591276,0.03577106518283,0.004424778761062001,-0.0064730290456432,-0.019880715705765
2006-12-31,,0.013224181360201998,0.088486294689178,0.52983568751802,-0.12896825396825,-0.20620313565098997,0.67855501424763,0.6888586956521701,-0.067257010331014,-0.09965922758252001,-3.1034482758621,0.08853558376973199,-7.19921875,0.047264884161987,-0.0073849126923874,0.033514752219994,0.38166814028883,0.60916969527537,0.046875,0.057559478127398,0.0014684287812041,0.09639158035416,-0.044624746450303995
2007-12-31,,0.01325875284856,0.08356483985736099,0.31354814396081,-0.12206887310733,-0.1468441391155,-0.5079130387163899,-0.52594529364441,-0.08515241539653799,-0.11287988422576,0.77459016393443,0.029038175336587,-0.33900441083806,0.0096228961011292,-0.0078570435266305,0.052660753880266,0.51237201365188,0.56341209173037,0.07089552238806,0.08998548621190101,0.0,0.078774950479963,-0.023354564755839004
2008-12-31,,0.013310161521161,0.056547473278503,0.029120642662459003,-0.7322954822954799,-0.5648381144103299,-0.8316269752949,-0.68858718710225,-0.038791429882461,-0.045300539590915005,-1.3679753656658997,-0.0036324498856451,-1.7788369876071999,0.058699398586149996,0.08851356086621301,0.059241706161137,0.6270803949224301,0.11856872985887,0.11536585365853999,0.10065912117177,0.0073313782991202,0.068973634651601,-0.020652173913043997
2009-12-31,,0.013357276891104,-0.0077844183260113,-0.43810984109284007,-12.135689851767001,-9.3080185042406,-12.494382022472,-7.9700272479564,0.15962837837838,0.15750963897651998,9.2928870292887,-0.051444774507155996,2.9130966952264,0.09697030097667901,-0.0021246458923512,0.07556549838429,-0.38193481276005997,-0.37522352473674,0.07130049045640599,0.062884483937116,-0.011644832605531,-0.13983704029948998,0.052164261931188
2010-12-31,,0.013400234952114,0.044001955083395994,-0.51178367650707,-1.4606799098915,-1.2848127697091,-1.6307860387557,-1.4324667709148002,0.11824313626144,0.10923956243613,0.001219512195122,-0.02270462633452,0.14013137316234,-0.019169619333152,0.10258726369443,0.063554425699099,-0.40294530154278,-0.44665288599140995,0.042573789708807,0.034806362575762,-0.020618556701031,-0.024219150025602,0.049578059071730005
2011-12-31,,0.013439170072303998,0.057378417687204,0.17987804878048996,-0.24705490108913,0.10377973281199,-0.08951686417502301,0.12858757062147,0.09931186815053901,0.10233748507081,-0.18737312220869,0.014893307115286998,0.031001371742112004,-0.015870075336544,-0.018608461583474997,0.037375054324207,0.17453605825698998,0.7396551724137901,0.050003636017832996,0.060534232336619996,-0.0045112781954887,0.0018890696332057,-0.0030150753768844
2012-12-31,,0.013474214811943,0.043065433218138,1.2575366063738,-0.9430258302583,-0.9430258302583,-0.39977973568282,-0.39977973568282,0.08426069036579101,0.11794205052006,0.065950537097177,0.01524882494349,0.10989888238425,0.02164773796825,-0.15556615586429,0.026183493925429,0.1308,-0.057152296002642995,0.056535219971658,0.057084184652402996,-0.0060422960725076,0.016288692190855,0.0030241935483871
2013-12-31,,0.013524629363941,0.034088302170646,0.11102632582984001,9.9352331606218,9.9352331606218,-0.21067556296914,-0.21067556296914,0.073673706968235,0.084344021709032,0.032809936723693,0.016857506361323,0.025413569887317,0.018916595012897996,-0.043990961728569,0.042865890998162993,0.017332861690838003,-0.05395935529082,0.057513690134027004,0.05400155018984901,-0.012158054711246,-0.0021129663986807,-0.0060301507537688
2014-12-31,,0.013532897965347,0.030978539736198997,-0.015109890109889999,-0.38403221985311997,-0.38403221985311997,-0.6196111580727,-0.6196111580727,0.06093998937865099,0.092339121552605,0.11345586566825999,0.00079936051159072,0.064297404722937,0.015762507534660002,0.0060565772952213,0.045605793697397,0.095792767732962,0.17222222222222,0.063030459079552,0.063298798253698,-0.018461538461538002,-0.00030986933842897,0.020060667340748
2015-12-31,,0.013519804838078998,0.04189581451722701,-0.01673640167364,0.34269230769231,0.34269230769231,0.27777777777778,0.27777777777778,0.058899595378134,0.085936038900318,0.04809455879356,-0.0013196277260731,0.050087873462215,0.0058748479363855,0.019308420820791,0.038749532010483,-0.079803268284944,-0.08372827804107401,0.057996887096702,0.057998546753395,-0.0141065830721,0.0086273699436897,-0.0086832401570121
2016-12-31,,0.013523197060175001,0.047362342785852,-0.043262411347517994,0.20080206244628998,0.20080206244628998,0.39130434782609,0.39130434782609,0.058144573567067,0.07928614483768201,-0.023332685203189,0.0015300090409625,0.001673640167364,-0.0022418217751689,0.039181791990781,0.036402955487475,-0.051724137931034,-0.051724137931034,0.05499993640645599,0.05500115844173,-0.011128775834658001,0.015416922761728999,-0.0087992960563155
2017-12-31,,0.013524047787386003,0.04807244737947,-0.045033358042995,-0.042461832061069,-0.042461832061069,0.0,0.0,0.039499646327389,0.054492869253016996,0.00039816842524401,0.0009374349003541801,0.013366750208855,0.00085735402808563,0.024535625173273998,0.032863849765257996,-0.036363636363636,-0.036363636363636,0.053000651005039,0.053000415689535,-0.012861736334405,0.0055485498108449,-0.0089581147607135
2018-12-31,,0.013522456937414001,0.04867172821240099,-0.065592858529012,0.06377678126557,0.06377678126557,0.0,0.0,0.030209154072058,0.041859761287760006,-0.0037810945273632,-0.00038156023448608,0.0049464138499588,-0.0008861582087789099,0.028683534027872003,0.032154882154882006,0.0,0.0,0.053000553361192,0.05299929612346499,-0.013029315960911999,0.0043140205668423,-0.0015065146579804
2019-12-31,,0.013518521786703997,0.048249575269972,-0.03883696780893,-0.055737704918032996,-0.055737704918032996,0.0,0.0,0.026351010759417006,0.035929557007988,-0.013184178985218,0.00013880213755283999,-0.0045118949958983,-0.0018330179754020002,0.019992108378272,0.032621105855489003,0.0,0.0,0.053000293560160006,0.053002008884362004,-0.011551155115512,0.00584386394286,-0.0060759287199772
