Date,ODA/MNG_LE_Value,ODA/MNG_LP_Value,ODA/MNG_PPPGDP_Value,ODA/MNG_BCA_NGDPD_Value,ODA/MNG_TX_RPCH_Value,ODA/MNG_TXG_RPCH_Value,ODA/MNG_TM_RPCH_Value,ODA/MNG_TMG_RPCH_Value,ODA/MNG_GGXCNL_NGDP_Value,ODA/MNG_GGXONLB_NGDP_Value,ODA/MNG_GGR_NGDP_Value,ODA/MNG_GGX_NGDP_Value,ODA/MNG_NGSD_NGDP_Value,ODA/MNG_PPPEX_Value,ODA/MNG_PCPIPCH_Value,ODA/MNG_PCPIEPCH_Value,ODA/MNG_PCPI_Value,ODA/MNG_PCPIE_Value,ODA/MNG_PPPSH_Value,ODA/MNG_NID_NGDP_Value,ODA/MNG_LUR_Value
2006-12-31,,0.012166405023548,0.11892885271725001,4.4936386768448,4.5839820100329005,4.7876842258865,-4.9018193224592,3.539625167336,2.1486093814861,1.6008416963418999,0.22615071874546,0.041885441527446,0.14323628546404998,0.18350178470786999,-0.63988119129807,-0.4850455136541,0.044848693852918,0.047519421055339,0.058823529411765,-0.016849315068493,
2007-12-31,,0.013958898797984,0.13186297512905,-0.034583912305080004,-0.45943434218271,-0.51423240803772,0.6568052094219801,-0.29167526761228,-0.65207646671061,-0.62496888225044,0.12318668956125,0.34768831367159003,-0.023679078837404,0.08734908203143599,0.8205528310298701,1.9709595959596002,0.08167205756155499,0.14118263375025,0.055555555555556,0.078584366727045,
2008-12-31,,0.016826003824092,0.11035102266446,-3.0588517511594,-0.43220630372492996,0.048788083251155,0.92013198117327,0.6362198168193199,-2.7131489200454997,-2.3996017258546,-0.12736234481668,0.065977337110482,-0.24224843066388,0.1911224135263,2.2822333782295,0.6427255985267,0.26807536806773996,0.23191025420325,0.052631578947367995,0.12559100891358,-0.18584070796459998
2009-12-31,,0.019180142910869,-0.0051652249673283,-0.30549945626845004,-2.7090230117077003,-1.9543227594398,-1.5117254624482,-1.6233270571471998,0.14996682149967003,0.12615603509604,-0.08614492403419201,-0.057801163995854006,-0.18473076440316,0.010594097994181,-0.7662090576736601,-0.91859261814419,0.062671447134126,0.018876493467173003,-0.05,-0.21105908277097002,0.26086956521739
2010-12-31,,0.01660516605166,0.076629550857,0.68124370875741,-3.5271954172326,-3.5279506326488,-2.9014814814815004,-2.7282227120581,-1.0955953067898,-1.2105706464519,0.22650801520410002,0.032662040954476,0.042954466725683996,0.18584474332076,0.6219881921174399,6.5699152542373005,0.10164732521936,0.14292245271158,0.052631578947367995,0.18690174856711,-0.14655172413793
2011-12-31,,0.011252268602541,0.19940735576085,1.0945981905269,0.14654265884607,0.11512031016021,0.88170367484742,0.51020359960319,-10.597585513078,-5.433,0.08599223887032499,0.23096252594778002,0.14787614865114002,0.098630411571959,-0.24417117560256002,-0.34263923873496005,0.076832163448198,0.09395,0.1,0.5322711116558401,-0.22222222222222002
2012-12-31,,0.019382627422827998,0.1441650922831,0.034555040335387,-1.0433107777597,-1.1721638674785,-0.9333517355600001,-0.97364675706533,1.5025157232703998,1.489961651252,-0.11886151021117,0.052764711103222,-0.023019547325102998,0.10455255460999001,0.95184172849147,0.5131452900479,0.14995371209879998,0.14215457744870003,0.09090909090909101,0.022892703450702996,0.064935064935065
2013-12-31,,0.014788732394366,0.13408696388500999,-0.15018112605145,0.20470588235294,-0.82519499946575,-1.3978049285566003,-4.0213649851632,-0.18614392225851997,-0.25946729479978,-0.039849052352925005,-0.076655566328036,-0.05827958404633401,0.10435625373977,-0.42711389703921004,-0.21292909397861998,0.085915130590666,0.11188833576105,0.083333333333333,-0.11950265874257,0.26829268292683
2014-12-31,,0.014920194309507001,0.10931083401777002,-0.49140235532115006,-10.152734375,-18.234718826406,2.2488287350337997,0.08976625417403301,0.14626865671642,-0.056765353560068,-0.14184313955535,-0.077952018991531,0.40598245797952004,0.08550392400465201,0.6413688744034499,0.4143355080883,0.1410010470564,0.1582425175993,0.076923076923077,-0.035258175100801,-0.15701923076923002
2015-12-31,,0.015042735042735001,0.10439523456955999,0.06847077207188,-0.62395971149332,-0.73404028940275,-2.1958019548149,-2.7298125450613,-0.33979885057471,-0.64111543450065,-0.013192972862123002,-0.10323315343863002,0.023611283708214,0.065427012738674,-0.12112616126516,-0.29421800947867,0.12393832221417998,0.11169597911875999,0.035714285714286004,0.038535184298707,0.040492756929394
2016-12-31,,0.015156618390030002,0.099798878595807,0.05936315894436,-0.026784700942003997,-0.074543272436325,0.43467774353477,0.33249973950193,-0.11711099020675,-0.61293820021684,-0.0058187863674148,-0.028434187279152,-0.22122131844117998,0.033324843319657,-0.2556281771968,-0.36046199301638,0.092249471080783,0.071426574912093,0.03448275862069,-0.14583296399383,0.033764525323393996
2017-12-31,,0.014930325149303002,0.09822393394475099,0.059299698795181,-0.62064139941691,-0.59322766570605,-0.44867843466891,-0.53839537065999,-0.0064704976120782,-1.0074696545285,0.0188127090301,0.014178553162471,0.056213755689967004,0.039366287571599,-0.20737127371273997,-0.029819403611927996,0.073120027936314,0.069294584159449,0.03333333333333299,0.056848135157012,-0.034358430540827004
2018-12-31,,0.015037593984962001,0.09403067918054302,0.18914756234820002,-0.9784814017829699,-1.0340063761955,-0.15585295612400002,-0.15585295612400002,0.28981237401147,-168.625,-0.014225140199699,0.040708262124226,-0.058594326534227005,0.036288950135716,-0.04937089715536099,-0.05007215007215,0.069515698487352,0.065828701919089,0.032258064516129,0.023527101335428,-0.67054689215902
2019-12-31,,0.015136876006441003,0.09035352720060902,-0.018730696423233998,76.871428571429,-64.21875,-0.42263696568332004,0.053782861729882,0.13248377013705,0.26249067859806,-0.0036769807131954,0.026813115813277,0.004766085538693,0.027800636025811,-0.06862321968062099,-0.0039495670666869,0.064740642842541,0.06556731614415501,0.03125,-0.0044514371234506,0.0
