Date,ODA/BTN_LE_Value,ODA/BTN_LP_Value,ODA/BTN_PPPGDP_Value,ODA/BTN_BCA_NGDPD_Value,ODA/BTN_TX_RPCH_Value,ODA/BTN_TXG_RPCH_Value,ODA/BTN_TM_RPCH_Value,ODA/BTN_TMG_RPCH_Value,ODA/BTN_GGXWDG_NGDP_Value,ODA/BTN_GGXCNL_NGDP_Value,ODA/BTN_GGXONLB_NGDP_Value,ODA/BTN_GGR_NGDP_Value,ODA/BTN_GGX_NGDP_Value,ODA/BTN_NGSD_NGDP_Value,ODA/BTN_PPPEX_Value,ODA/BTN_PCPIPCH_Value,ODA/BTN_PCPIEPCH_Value,ODA/BTN_PCPI_Value,ODA/BTN_PCPIE_Value,ODA/BTN_PPPSH_Value,ODA/BTN_NID_NGDP_Value,ODA/BTN_LUR_Value
2001-12-31,,0.030141843971631,0.091870456047588,-0.06963012477718401,-3.1287035289677,-4.3008362227208,-1.3469479690667001,-1.2824267782427,0.18902505864556,7.9412559081702,-11.691860465116001,-0.09372432679141901,0.16895874263261,0.51502856017333,0.015577809569226003,-0.012345679012346,-0.12163584423395,0.03999897675663299,0.05842236596651901,0.0,0.069339531280263,
2002-12-31,,0.029259896729776004,0.11198547215496,0.87857741587834,-0.73590425531915,-0.9430301532377701,-3.0536680372214002,-2.2337037037037004,0.10231400387203998,-0.6258118109047,-0.65214013827391,-0.082794047289301,-0.21860069870645002,-0.0011700772250969,0.035060259821568004,-0.26825,-0.53149606299213,0.029270692411758,0.027369085359174,0.0,0.037475095091469006,
2003-12-31,,0.030100334448161,0.11268372346217,0.54869964303927,-1.551863041289,-6.181127982646401,0.7351949420442601,-1.6709696787751,0.24816004282082,1.1184661957619,1.2070120589548998,-0.29677419354839,-0.12731095483216,-0.010751288592701,0.018599727808861,-0.29347454731807,0.085495067592254,0.020677040727226002,0.029712959853846,0.33333333333333,-0.038600534227204004,
2004-12-31,,0.029220779220778998,0.096868884540117,-0.23370102074416,19.937347931873,6.3472890935734005,-0.29276735288759004,-11.315436241611,0.053551326722058,-1.1742402591216998,-1.2582211878983998,0.3378489166504,-0.10165877433468999,-0.042972553353859,0.0066805225653207,1.0517408123791,0.22416694715583999,0.042427233251626,0.036368132292713,0.0,0.13230914505702,
2005-12-31,,0.025236593059936998,0.09946476360392499,0.6840691803630901,-0.099183637895471,-0.19553820730526,3.5204362012707997,1.9199739752765,0.07534089752722099,-4.9480590486605,-3.3620689655172002,-0.10347544427909,0.16966707768187,-0.18554773427189,0.016221796195251,0.13646005185010998,0.18009348364035999,0.048223016983707,0.04291645167928799,0.0,-0.09571158225614998,-0.08
2006-12-31,,0.024615384615384997,0.10304259634888001,-0.8611341455635602,0.13951688328442002,0.39373118469984003,-1.2441447430905,-1.1581402257873,-0.024509398029312002,-0.8401883395651599,-0.9736230922362299,0.12990267877486,-0.054712207463630994,0.47545577312627,0.024742417646205002,0.022397345499792998,0.19361602982293,0.049301056039135996,0.051231052346356,0.0,-0.20934274465292999,0.39130434782609
2007-12-31,,0.019519519519520002,0.15557190143435,-4.3530087276068,0.8968103472674301,0.9362421223826,-1.9408698358360001,-2.5150291189179,-0.078746650175222,-1.5528596187175,-11.201257861635002,0.028000230454572003,-0.022861603657857003,-0.10324234034277,0.015719039864052,0.06409736308316401,-0.017177435096623003,0.052457383775360994,0.050355690365755996,0.0,-0.12233636893814,0.15625
2008-12-31,,0.019145802650957,0.12921705919796,-1.1527501883691,-1.01763652641,-0.9991862983135401,1.1064252046638998,0.36989273978548,-0.22898924617956,-0.60344827586207,1.1905055487053,-0.021296867118758,-0.01069961196074,-0.06121303360465401,0.023771348902055997,0.20091498284407,0.38192651439921,0.062997849276202,0.069575543471927,0.0,0.13831527295032,0.081081081081081
2009-12-31,,0.01878612716763,0.06510710259301,-0.10986547085202002,13.195431472081001,-293.64516129032,-1.6000078514506,-1.6413215659652,0.20685946462715,-2.9288537549407,-0.29608781311568,-0.060728397182614996,-0.03977158019208,-0.14921722113503,0.04500885196786099,0.13126984126984,-0.07516527737855701,0.071270513439743,0.064349866454867,0.25,0.10056129321958,0.0
2010-12-31,,0.017021276595745,0.10664196877481001,4.1863979848866,-1.0940461290899,-1.0024250440917,-2.9516487830411,-3.2462244177841,-0.18682189184219,-4.3729508196721,0.7005197920831702,0.41271147690901006,0.34252417853066996,0.08628841607564999,0.041832279924415,-0.32285674196716996,0.029370629370628995,0.048259709348656,0.06624372786766299,0.0,0.13796691078969,-0.175
2011-12-31,,0.01673640167364,0.12338593974175001,1.3010199125789,7.3637515842839,307.13636363636,-0.01213584096014,-0.03968079424424299,0.19274258080228002,-2.2818955042527,-0.96332000940513,-0.23243569825652,-0.15696451742807002,-0.059730023821427,0.054224779535931,0.77206796518856,0.32261473429952003,0.08552295144893,0.08761246147264401,0.0,-0.10365350830017,-0.060606060606060996
2012-12-31,,0.017832647462277,0.08429118773946401,-0.25640592680147,-2.1447188968025,-2.3766779761027004,-1.5137272202803,-1.5781260223778,0.053233380975994005,-0.40663507109005,5.3846153846154,-0.0098110873720905,-0.032031208534579,0.0072250719379458,0.079437588989084,0.18276426566885,0.029448693071567,0.10115088954363,0.090185611344245,0.0,0.04002,0.032258064516129
2013-12-31,,0.016172506738544,0.065174715351394,0.25563440249787,-0.5706910246227199,-0.6235199571390301,-0.39536266349584004,-0.48203270895818,0.23501717071008998,2.1892971246006,-2.0291164658635,-0.17937143343838,-0.09806716929403698,-0.014812284569761,0.074580928826601,-0.14434008897676998,0.10799423439406,0.08655076217263902,0.09993422597650999,0.0,0.01140362685333,0.0
2014-12-31,,0.015915119363395,0.08127534095097701,-0.010941314766253998,-0.5741597286463199,-0.6867795645367901,-0.94438981754616,-1.0386758439856,0.21196797775485002,-0.048084147257701,0.33951219512194997,-0.059366891541256,-0.057997446653292005,-0.16049927504255,0.0625,0.18278451761987,-0.041829280496348,0.10237484849739001,0.095747378616315,0.0,-0.020192417386014,0.0
2015-12-31,,0.016971279373368,0.095449122208965,0.19569391113548998,-1.1082548877625,-0.97410268059973,-2.3654223968566,0.9632768361581899,0.088544124041335,-0.37384898710866,-0.78878368536052,-0.16337489425871,-0.1891900613101,-0.029248329203274,0.055357658611726,-0.14066621080395003,-0.12125326370757,0.08796755578532599,0.08413562753640899,0.2,0.0098967631762789,0.0
2016-12-31,,0.016688061617458,0.10222498833048,0.016171579309554,1.933110367893,-7.2456140350877,13.541007194245,13.541007194245,0.06187109056295901,-0.35084033613445,-2.4,0.12322504066469998,0.078361921439089,-0.043202475343261,0.046387520525452,-0.13015800841196,-0.099952460185405,0.07651729441114201,0.075728330501979,0.0,0.00026901348910487,0.0
2017-12-31,,0.015151515151515,0.10855448898927002,0.048871331828443,1.2200684150513001,2.9943820224718998,-0.7017613299030301,-0.7017613299030301,0.00075233704699701,-0.52556634304207,1.3866995073892001,-0.059921722113502995,-0.086507233540006,-0.040261945185544,0.039797742033912994,-0.09670674333507599,-0.09098111712663401,0.069121300601567,0.068841087645783,0.0,-0.0034386045796833,0.0
2018-12-31,,0.017412935323383002,0.13829109894307998,-0.43035976900176004,13.871083718541,22.501406469761,-1.5434638354346002,-1.5434638354346002,-0.04516227066971599,-3.06275579809,2.0247678018576,0.0053291144510596,-0.085528442146089,-0.040603150534917,0.036346105474973,-0.030237268518518,-0.033991865194654,0.067031321593983,0.06649921183635,0.16666666666667002,0.0022167820035853,0.0
2019-12-31,,0.015892420537897,0.10247231233919,-0.51816636231975,-0.019928161911998,-0.0494030342021,-3.8015873015872996,-3.8015873015872996,-0.0007286981430761401,1.7374338624338999,1.5063118389627999,0.1051062243757,-0.0039319637729181,-0.044999560979892994,0.033817402208648,0.0028345516932717,0.006015037593985,0.067219789003916,0.066899229420611,0.0,-0.00032697338052,0.0
