Date,ODA/BIH_LE_Value,ODA/BIH_LP_Value,ODA/BIH_PPPGDP_Value,ODA/BIH_BCA_NGDPD_Value,ODA/BIH_TX_RPCH_Value,ODA/BIH_TXG_RPCH_Value,ODA/BIH_TM_RPCH_Value,ODA/BIH_TMG_RPCH_Value,ODA/BIH_GGXWDG_NGDP_Value,ODA/BIH_GGXWDN_NGDP_Value,ODA/BIH_GGXCNL_NGDP_Value,ODA/BIH_GGXONLB_NGDP_Value,ODA/BIH_GGR_NGDP_Value,ODA/BIH_GGSB_NPGDP_Value,ODA/BIH_GGX_NGDP_Value,ODA/BIH_NGSD_NGDP_Value,ODA/BIH_PPPEX_Value,ODA/BIH_PCPIPCH_Value,ODA/BIH_PCPIEPCH_Value,ODA/BIH_PCPI_Value,ODA/BIH_PCPIE_Value,ODA/BIH_PPPSH_Value,ODA/BIH_NID_NGDP_Value,ODA/BIH_LUR_Value
2010-12-31,,-0.0017930327868853,0.020749586190589,-0.06018023522223901,413.16,1.9334699668926,-0.63840224246671,-0.85916095890411,0.093670532345955,0.17856357640161,-0.2490297542044,-0.30053449951409,0.041138254794642996,-0.27122604767098,0.01397628267183,-0.20642710147222001,0.0027855153203343,-6.5721784776903,-124.04,0.021232463418313,0.030753814125470003,-0.024390243902439,-0.16305225205833,0.13021439255443
2011-12-31,,-0.0017962535283551,0.030404818439799,0.58491792621485,-0.6756808962719699,-0.35948836459396993,-1.9352713178295002,-3.5334346504559,0.042491759715870006,0.08071386375649,-0.18432385874245996,-0.23515109412991003,-0.018762688321402002,-0.35634886703720003,-0.030212622073712,-0.09804508278476,0.0055555555555556,0.73104097974564,-0.0094278283485045,0.036744340632963,0.030469285784266005,-0.05,0.16665595062045999,0.014631277111976999
2012-12-31,,-0.0015424164524422,0.0056486061151077,-0.050041017227235994,-1.8365098272781,-1.2168149018292,-2.7451305428927006,-2.1571685662867,0.09433823529411801,0.11594119508616,-0.065821893699402,-0.13578564940963,0.0081233530065117,-0.53370973098638,0.0038147586037163,-0.018024991706292,-0.0069060773480663,-0.44244897959184004,-0.32753528060387,0.020495832442830004,0.020492342796963003,-0.026315789473683997,-0.00011022320198396001,0.014492753623188
2013-12-31,,-0.0015447991761071,0.03621629174235,-0.41267271157168,-3.9647561409753997,-5.9462074303406,-0.5974827831868901,-0.62182477967859,-0.047257497368361996,-0.042434710871639,-0.2750565184627,-0.3783499737257,-0.025383452149492,-0.5035612535612499,-0.038942464857797,0.44031531531532,-0.0097357440890125,-1.0448999511957,-1.0448999511957,-0.00092846621569743,-0.0009244926040591,-0.027027027027027,0.0048503555090118,-0.035714285714286004
2014-12-31,,-0.0018050541516246,0.023866670262398,1.0189303436868,-1.0518731988473,-1.3894061497535,-9.3699115044248,-10.6881425634,0.084863301911187,0.10112268798966,1.1512474012473999,1.7802197802198,-0.00022165576859148998,0.82496413199426,0.046876993069433,-0.31508991399531,0.0028089887640449,-12.95652173913,-12.95652173913,0.010998225191106,0.011003751605013,-0.027777777777778,0.08721408589764701,-0.055555555555556
2015-12-31,,-0.002066649444588,0.054127377126903006,-0.17269003186163,-28.071759259259,-3.8706047819972,-0.97850144498485,-0.9998585072515,-0.0025352662029514,0.0043521846499914,-0.34114520415559,-0.47582851930678005,0.0031703802239220003,-0.26729559748428,-0.025749852770952004,0.21506849315068,0.0056022408963585,0.36363636363636004,0.36363636363636004,0.015004699767776,0.01499918405574,0.0,-0.006962312698653,-0.039215686274510005
2016-12-31,,-0.0023297954957287,0.056545313710302005,-0.18265845070423,-0.30200940572894,-0.30174284314412,16.704918032787003,2600.0,-0.031456378171706,-0.027996202254302997,-0.4983498349835,-0.7598607888631099,0.0049283946251768,-0.25858369098712003,-0.023678999478895,0.081830139045472,0.0069637883008357,0.2,0.2,0.017996854125386,0.018000069903183997,0.0,-0.043641721282325,-0.040816326530612
2017-12-31,,-0.0023352361183186,0.06137073124586099,-0.087372105546581,-0.11123361509249,-0.12089013632719,0.25518518518519,0.26874279123414,-0.054593576170824006,-0.053297267513212,-0.41228070175439,-1.036231884058,0.0019792834993733,0.14182344428364999,-0.010119771984884,0.050108554059922004,0.008298755186721999,0.11111111111111001,0.11111111111111001,0.019999732445051002,0.019995879969786,0.0,-0.0072779430514237,-0.021276595744681
2018-12-31,,-0.0020806241872562,0.061988903496067005,-0.10753798495353001,-0.07415575465196401,-0.10353477765108,-0.19430510475065998,-0.20045454545454996,-0.081494661921708,-0.083309082250853,-0.60323383084577,23.666666666667,0.0008120980663286401,0.17490494296578002,-0.0096624609080125,0.032335428382402005,0.0082304526748971,0.05,0.05,0.020997822836608,0.021004160439471998,0.0,-0.01284315299406,-0.021739130434783
2019-12-31,,-0.0096429502215273,0.061475839785149006,-0.09355371900826401,0.021140390055084002,-0.010429916051895,-0.0062259659403041,-0.0062535531552019,-0.073847345989926,-0.07486291486291499,-1.1222570532915002,1.2351351351351,0.00072371595245408,0.26752966558792,-0.0070562101182568,0.024993991828887,0.0081632653061225,0.0,0.0,0.021002736136267,0.021000646173728002,0.0,-0.013443920420664,-0.022222222222222
