Date,ODA/HTI_LE_Value,ODA/HTI_LP_Value,ODA/HTI_PPPGDP_Value,ODA/HTI_BCA_NGDPD_Value,ODA/HTI_TX_RPCH_Value,ODA/HTI_TXG_RPCH_Value,ODA/HTI_TM_RPCH_Value,ODA/HTI_TMG_RPCH_Value,ODA/HTI_GGXWDG_NGDP_Value,ODA/HTI_GGXCNL_NGDP_Value,ODA/HTI_GGXONLB_NGDP_Value,ODA/HTI_GGR_NGDP_Value,ODA/HTI_GGX_NGDP_Value,ODA/HTI_NGSD_NGDP_Value,ODA/HTI_PPPEX_Value,ODA/HTI_PCPIPCH_Value,ODA/HTI_PCPIEPCH_Value,ODA/HTI_PCPI_Value,ODA/HTI_PCPIE_Value,ODA/HTI_PPPSH_Value,ODA/HTI_NID_NGDP_Value
2010-12-31,,0.013415258576549,-0.043421736869474994,-0.17035040431267,-1.2134742273156,-1.0230749810654,1.5705179282869,1.6672613045839,-0.37451379224209,-1.2368421052632,-1.4458920499866998,0.34216583394149996,0.018160724644148,-0.06896282716386501,0.041750416355595996,0.20618256051326997,-1.9965819269387002,0.04135363882134,0.046650814666703,-0.10526315789474001,-0.075873858800422
2011-12-31,,0.013843977364591998,0.07699103017124201,1.8213125406108002,-6.062514524750201,-63.702407002188,-1.2508782806365,-1.1118962458926,-0.3166362391602,-4.3443526170799,-2.9212880143113,-0.08403045005855801,0.11933561223594999,-0.014872847626628998,0.053362734288864004,0.7855415860735001,1.2252947481243002,0.07385229540918099,0.10381303971809,0.0,0.09639075845239499
2012-12-31,,0.014053623043955,0.047321597577134,0.30861354214647996,-0.95772126331252,-0.96803350200663,-0.49268945634267,0.73258835758836,0.36775755551845,0.31548599670511,0.35816263190565006,0.068633270925613,0.10383305273872999,0.014842221655183998,0.034278836089596,-0.08192281651997299,-0.3703882092284,0.067807420365916,0.065358101352418,0.0,0.060633256748995
2013-12-31,,0.014055435423629,0.058557744442436,0.18409010911651,17.495114006515,15.382096069869,-2.2459914755429,-2.3397330133492997,0.30037233717878004,0.39344604466708005,0.41841864716636,-0.11148619776088001,-0.025680133366438002,-0.023132045425973,0.050599605323078,-0.00058997050147499,-0.30553855569155003,0.06776228589632,0.045382947778600996,0.0,0.016720257234727
2014-12-31,,0.013957545798196998,0.054863126742928994,0.0084720570749109,-0.7314195139133499,-0.95455151272824,-0.37644567519140004,-0.25716524854456,0.15128614344724,-0.15638106650689002,-0.16384726921217999,-0.060404943971529006,-0.08373075102843201,-0.11977178156235001,0.035110533159948,-0.41100944510035003,0.27781449658515,0.039903464515751,0.058002667030670994,0.0,-0.09104830387163401
2015-12-31,,0.013669821240799,0.056164014027515995,-0.12969786293294,0.20415300546448,7.077712609970701,-0.11572622779519001,-0.56639035418237,0.22020630325763002,-0.16530539772727,-0.19499036608863,0.046680657214516,-0.00075489689697651,0.047906818071056,0.040759352317141,0.6532197444249599,0.03448275862069,0.06597572658855601,0.05999841208404,0.0,0.0037723410489306
2016-12-31,,0.013202565069785,0.059460563955864,-0.09618966977138,-0.012524959157741999,-0.012524959157741999,0.5057607090103401,0.7716371220020899,0.1264033680834,-0.21952776005104999,-0.28171373863092,0.054770404420754,0.0034990059642148,0.018556413356897,0.040414878397711,-0.24219460442557997,-0.16666666666667002,0.050002162723301,0.050001638477059004,0.0,-0.0061663078775495
2017-12-31,,0.012844378257631999,0.061234329797493,-0.016301292861158,-0.0020220588235294,-0.0020220588235294,-0.05983912105159901,-0.05983912105159901,0.09439055501171699,-0.30853093485963,-0.38753748750417,0.018545134220409,-0.029003883033521,-0.029496370028766,0.038630113441045,0.0,0.0,0.050001144295686,0.050001337530206,0.0,-0.026910933255011
2018-12-31,,0.012589597500459999,0.061880963198545996,-0.00076190476190468,0.041444096518695996,0.041444096518695996,0.0058430717863106,0.0058430717863106,0.078768330035508,-0.11824990145841999,-0.17410228509248998,0.0058263917338067,-0.0070186893005795,-0.0084215478710891,0.038062140581689,0.0,0.0,0.05000021796084599,0.049998089244997,0.0,-0.0069043576683645
2019-12-31,,0.012251565477811,0.06131268184151999,-0.06214258482653501,0.14432260346657,0.14432260346657,-0.10601659751037,-0.10601659751037,0.06351918389909299,-0.23424228877962,-0.35836627140974997,0.0039371860433543,-0.017917317333771998,-0.00014234200037958,0.038539715435814,0.0,0.0,0.04999813176456901,0.04999919121334201,0.0,-0.012499050224146999
