Date,ODA/BGR_LE_Value,ODA/BGR_LP_Value,ODA/BGR_PPPGDP_Value,ODA/BGR_BCA_NGDPD_Value,ODA/BGR_TX_RPCH_Value,ODA/BGR_TXG_RPCH_Value,ODA/BGR_TM_RPCH_Value,ODA/BGR_TMG_RPCH_Value,ODA/BGR_GGXWDG_NGDP_Value,ODA/BGR_GGXWDN_NGDP_Value,ODA/BGR_GGXCNL_NGDP_Value,ODA/BGR_GGXONLB_NGDP_Value,ODA/BGR_GGR_NGDP_Value,ODA/BGR_GGSB_NPGDP_Value,ODA/BGR_GGX_NGDP_Value,ODA/BGR_NGSD_NGDP_Value,ODA/BGR_PPPEX_Value,ODA/BGR_PCPIPCH_Value,ODA/BGR_PCPIEPCH_Value,ODA/BGR_PCPI_Value,ODA/BGR_PCPIE_Value,ODA/BGR_PPPSH_Value,ODA/BGR_NID_NGDP_Value,ODA/BGR_LUR_Value
2001-12-31,,-0.031779141104295,0.06524076749890799,0.015452538631347,-0.38533457993855996,-0.25982213963366,0.75591882750846,0.5780917524895699,-0.0890217174736,-0.26541957116386,-0.045088566827697,,-0.02083055503694,1.4314516129032,-0.021225796295323996,0.17323022959183998,0.039130434782609,-0.28612968886303997,-0.5726837060702901,0.073641229665886,0.048150905931993,0.016260162601626,0.12558398220245,-0.034189919488254
2002-12-31,,-0.0057026992776581,0.062569991009605,-0.57028985507246,-0.00097783572359847,-0.035685465793957004,-0.7865168539325799,-0.62957769268109,-0.20067655249842997,-0.5233033033033,0.064080944350759,,-0.036445848768794996,0.6849087893864,-0.03484787561989,0.17612285112455,0.031380753138075,-0.21154107264087,-0.20830737279335,0.058082839659669996,0.038124556002842,0.016,-0.027522482458740997,-0.005595523581135
2003-12-31,,-0.0057354065765995,0.076089538059613,1.2398819561551002,1.3556280587276,0.06927010692701101,3.9203007518797004,1.9456901572510001,-0.15220722364101,-2.1427491495527,-1.0047543581615999,0.45150501672240995,0.03443206875106,-0.43503937007874,0.016247743368977,-0.08475359639493901,0.0020283975659229,-0.5956604098501801,0.48111227701994,0.023478451205602997,0.056455291970803005,0.0078740157480315,0.074894568365429,-0.20435231970601997
2004-12-31,,-0.0051275477502884,0.096849394432643,0.20779220779220997,-0.41731301939057996,0.069565217391304,-0.38895680521597,-0.40225396668478997,-0.15935106291419,0.44818081587652003,548.33333333333,0.7880184331797201,0.023611718408395002,-2.0696864111498003,-0.021371959551790002,0.030741068046964002,0.01417004048583,1.6188245315162,-0.29631597591215003,0.061480622685472,0.039727949908237,0.015625,0.075206806901442,-0.12015587789564999
2005-12-31,,-0.0054116737533823,0.09779286926994901,0.81315256350319,-0.71484034545599,-0.14634146341463,-0.26525508502834,0.03225006201935,-0.24671103148196,-0.41872858774266997,0.37196601941748003,0.12725515463918,-0.00037377189235377004,0.7019543973941401,-0.017510053619303002,-0.025231183783453,0.039920159680639,-0.01756383151732,0.8608104706770698,0.06041165180323,0.073927941023777,0.015384615384615,0.21128989712476998,-0.16527230971129
2006-12-31,,-0.0051820183961653,0.09783368273934301,0.50880962612806,-0.98249513753821,0.076190476190476,-0.30383480825959003,-0.4215332852679601,-0.20475009343889003,0.36817288801571996,0.4750110570544,0.22177765075735997,-0.012312376475616001,0.99234449760766,-0.043603081208607,-0.083621285418106,0.036468330134357005,0.22794239364344002,-0.17746516975517002,0.07418,0.06081407715363,0.0075757575757576,0.16655778164925,-0.11349120565982002
2007-12-31,,-0.0050787863002996,0.092809216224395,0.43560239248077004,192.11111111111,0.04929203539823,1.2737940026076,1.1060794903753,-0.20722067934202001,-0.021539345203906005,-0.023688155922038996,-0.09473684210526301,0.032719504610476,-0.26897214217099,0.038279787202425,-0.39044289044289,0.064814814814815,0.020625505527096,0.9034698240421,0.075704258131784,0.11574917973022,0.015037593984962001,0.060732397871877,-0.23132343161162
2008-12-31,,-0.0043193717277486,0.08274051086178098,-0.085826521704627,-0.20614828209765,-0.1939782407017,-0.38747133027522995,-0.42096265123619,-0.16701697655618,0.33186576655905,-0.11793611793612,-0.27906976744186,-0.0040061794663666,-0.46452036793692997,0.0066409045369973,0.6310876166910401,0.062608695652174,0.57839122969225,-0.37900647948164,0.11949805279100001,0.07188367913739599,0.02962962962963,0.10116446191299999,-0.18327325162221
2009-12-31,,-0.0056526883133956,-0.047587970720522,-0.61256999001693,-1.8691240422448,-2.3285549858742,-3.8600514860754003,-4.179990915285,0.0076992753623188,0.017483288033497,-1.3189415041783001,-1.2136200716846002,-0.07311109942688901,-1.0527607361963,0.028634799670145,0.40946076403255,0.036006546644845,-0.7931380753138101,-0.7721202003338901,0.024729819570494,0.016384697454656,-0.05035971223021599,-0.21778274998668,0.21433615819208998
2010-12-31,,-0.007800105764146,0.016195344185788,-0.8343042796325301,-0.8483440552775801,-1.4771993384263997,-0.6139841256853,-0.81848373388566,-0.040963081861958,-0.01718287488268,3.3700873362445,5.2785234899329,-0.072666420852597,72.418604651163,0.014513186266379,0.04735812133072401,0.015797788309637,0.22815533980582997,1.7142857142857,0.030356752189624,0.044462772737497,-0.045454545454545005,-0.22062929918954,0.49840069787728997
2011-12-31,,-0.023717521652232003,0.039428482910072,-1.0689655172414,-10.956794972506001,1.9428948671398,-1.8133545310016,-3.1884713751721,0.033808663051483,-0.16873576728128,-0.5066200349737701,-0.55879208979156,-0.0075852576846612,-0.45422869813114003,-0.062018038638655,0.028774289985052003,0.026438569206843,0.11627140974966998,-0.53981106612686,0.033891976189953,0.02045944005743,-0.023809523809523996,-0.042119980775113,0.10130021346788
2012-12-31,,-0.0061416678040125,0.02392390637328,-10.0,-1.0500197238659001,-1.0718411754808999,-0.09538702111024198,-0.37144911902193,0.1339204766222,-0.086337928596677,-0.7675949367088599,-0.9127801332525699,0.04650661078065799,-0.8589669181659899,-0.00023240275397271002,-0.054440610243371,0.013636363636363998,-0.29507229271171004,0.3514173998045,0.023886410310883996,0.027646851916989,-0.024390243902439,-0.0082561693198922,0.09066079295154199
2013-12-31,,-0.0060422960725075,0.023647462735126,-3.0490196078430998,-20.518927444795,-11.562841530055001,-0.12013828867761,-0.31521739130434995,-0.062764134780126,-0.13115388335428999,3.0435729847495003,8.4166666666667,0.045617858404995,4.703703703703701,0.08560220833938702,0.09589435774309699,-0.023916292974589002,-0.83968187526162,-1.3095840867993,0.003831709122096,-0.0085569550930997,-0.025,-0.036841136969919995,0.053235317877050006
2014-12-31,,-0.0049737496546008,0.030988365771447,-1.1222753854333,-0.58230303030303,-0.64222895573128,-0.28732809430255,-0.077694235588972,0.5333008348059199,-0.47111210063453,0.42995689655172,0.54203539823009,0.023179833826222,0.5021645021645,0.043387489628222,0.018972920865831,-0.027565084226646,-4.0208877284595,-1.0,-0.011568380220068002,0.0,-0.017094017094017,0.12148416981042,-0.041263997545636005
2015-12-31,,-0.0049986114968064,0.038834715168822,8.9391304347826,0.16270071580577,0.21896302416855998,0.43625086147484005,0.41689311594203005,-0.0025036760322696,-0.23910755630394,-0.25772418990203,-0.31563845050215,0.026591059238052998,-0.39000960614793,0.0072341080498693,-0.03212212427435,-0.011023622047243999,-1.6084701815039,,0.0070473588088499,0.013001449975834,-0.017391304347826,0.055780285288482,-0.0488
2016-12-31,,-0.0050237231370361,0.04431758724903,0.25415573053367996,0.0014975041597338,0.044060328757838,0.034069097888676,0.05561770816685299,-0.06298804780876499,-0.11728907330567001,-0.25837563451777,-0.3508036338225,0.0040220947069235,-0.17086614173227999,-0.0091432355338224,0.024035898347254,-0.0015923566878981,1.5411931818182,0.69230769230769,0.017886190116910998,0.021995324204398998,-0.0088495575221239,0.04521072796934901,-0.05130361648444099
2017-12-31,,-0.0049088359046284,0.05116355587461099,0.041506801534705005,0.0044857949825553,0.0081155656549263,0.032946635730858,0.034367903103709,-0.050087163569879994,-0.022250078345345998,-0.32580424366871996,-0.53283100107643,0.0036320905886122,-0.25641025641026,-0.0087392366019793,0.043993231810491,0.0015948963317384,0.22973728339855,0.0,0.021998871155298,0.022002134187008,-0.017857142857143002,0.043756752585276004,-0.054078014184397005
2018-12-31,,-0.0050739957716701,0.051774916411752005,0.058606831882115996,0.029937148527952005,0.021091611656737997,-0.0082359988020365,-0.012295081967213,0.02537934738821,0.091666666666667,-0.47005076142132,-1.0345622119816,0.0042575838211816,-0.33333333333333,-0.0078309347854272,0.04459128122013099,0.0015923566878981,0.0,0.0,0.021997764292557998,0.021998316355497004,-0.0090909090909091,0.046099815157115996,-0.057169634489222
2019-12-31,,-0.0049582093780989,0.051268870732103,0.021828535273647996,0.020876826722338003,0.023494165878272005,-0.05209119734259401,-0.053200948429164,-0.024751178627554,0.25190839694656,-1.0689655172414,37.0,0.011579226285108999,-1.0708812260536,-0.0031884588244518,0.037237428389561004,0.0015898251192369,0.0,0.0,0.021999557274372996,0.022003703467212,-0.0091743119266055,0.035516132452202996,-0.060636182902585
