Date,ODA/ISR_LE_Value,ODA/ISR_LP_Value,ODA/ISR_PPPGDP_Value,ODA/ISR_BCA_NGDPD_Value,ODA/ISR_TX_RPCH_Value,ODA/ISR_TXG_RPCH_Value,ODA/ISR_TM_RPCH_Value,ODA/ISR_TMG_RPCH_Value,ODA/ISR_GGXWDG_NGDP_Value,ODA/ISR_GGXWDN_NGDP_Value,ODA/ISR_GGXCNL_NGDP_Value,ODA/ISR_GGXONLB_NGDP_Value,ODA/ISR_GGR_NGDP_Value,ODA/ISR_GGSB_NPGDP_Value,ODA/ISR_GGX_NGDP_Value,ODA/ISR_NGSD_NGDP_Value,ODA/ISR_PPPEX_Value,ODA/ISR_PCPIPCH_Value,ODA/ISR_PCPIEPCH_Value,ODA/ISR_PCPI_Value,ODA/ISR_PCPIE_Value,ODA/ISR_PPPSH_Value,ODA/ISR_NID_NGDP_Value,ODA/ISR_LUR_Value
2001-12-31,0.017558528428093998,0.019288327236448,0.023919939518172,-0.00063856960408692,-1.3402851049501001,-1.1960722702278,-1.1468976852486001,-1.5441273085626999,0.053670165628626997,0.072568940493469,0.62292891501871,-0.86354378818737,-0.0041636819484241,0.058783600325820994,0.04430536621638401,-0.019079301404041002,-0.0067033756284414,-0.0079999999999999,,0.011159814263231,0.014096756188423999,-0.022727272727273,-0.017767074112782,0.06651376146789001
2002-12-31,0.0078060805258832,0.017781402936378,0.014736778004445,-0.31309904153355,-0.46120860271804,-1.1376201923076998,1.5268065268064999,-1.1214113227797,0.07911726033239,0.10284167794316999,0.2270706405401,-3.2835820895522003,-0.0029672256440228,-0.079497371457879,0.024664253644257002,-0.060894718467907005,0.026753434562545,4.0958781362007,3.6103619588361,0.056868319162347,0.06496,-0.027131782945736,-0.07915433012583299,0.10752688172043
2003-12-31,0.021198532409294996,0.01763103061388,0.030920874966244,-1.4688372093022999,-1.2648463328027,4.2620087336245,-0.07416974169741701,-2.675138121547,0.030538540911985,0.031901840490797,0.033548040794418,0.11437908496732001,-0.03131622852504799,-0.15308538793704002,-0.021985870362506002,0.013329792883696002,-0.023943661971831,-0.8821874450501099,-1.2903325123153002,0.0066940921593924,-0.018858173076923,-0.031872509960159,-0.06671690530017599,0.040776699029126
2004-12-31,0.031536926147705,0.018743109151047,0.07942225132794901,2.1805555555556,4.7794729542302,3.3067773167358,-2.9089278597051003,-8.7091029023747,-0.017650191734128996,0.0011890606420928,-0.24279407945988,-1.6383186705766999,-0.026137553822879,-0.20986842105263,-0.059071979789607,0.077773701587967,-0.026214526214526003,-1.6179104477612,-1.6399787910923,-0.0041348292871651,0.012066494346511001,0.0,0.02072455186521,-0.037313432835820996
2005-12-31,0.037925696594427,0.021026592455163997,0.07695574505375999,0.8140985651902699,-1.0279977601792,-0.8335153189029499,-0.9569892473118299,-0.7906220586976999,-0.035750300901077,-0.042755344418052,-0.17558299039781,1.3981623277182,-0.0040390038717078,-0.17839300582848,-0.025024122163024,0.11256990031607,-0.020251914052853,-4.2101449275362,0.97680198840099,0.013293674881632,0.023857364190956,-0.0041152263374486,0.053264423584010005,-0.13178294573642998
2006-12-31,0.031692766592095,0.023470623864325,0.09030364106383901,0.5574277854195301,-8.5057142857143,0.64930555555556,-6.6966019417476,-0.9440130772374301,-0.08959134561320599,-0.10173697270471001,-0.53868552412646,0.8646232439335899,0.029347539174046,-0.46668355713200005,-0.029409866397023,0.051442307692307995,-0.018401814973531997,0.58540255831452,-1.0406538139145,0.021074701970886,-0.00096941610412957,0.0041322314049587,-0.022181053474865,-0.066964285714286
2007-12-31,0.043006866642573,0.021896730285544997,0.090953452591453,-0.30602782071096996,0.5531023981728199,1.2294736842105,-3.904559011504,59.642335766422995,-0.08716757865092199,-0.08149171270718202,-0.47294860234444996,0.18287671232876998,-0.018859567325625,-0.06983372921615201,-0.04118455468369,-0.01804048717629,-0.019260400616333,-0.75510204081633,-36.020618556701,0.0051628649206796,0.033974321046092,0.0041152263374486,0.048696809872497006,-0.12440191387560001
2008-12-31,0.036382536382536,0.022006659910236002,0.055306765738222005,-0.5249761374483,0.2953431372549,-1.247403210576,-0.037259791697228,-0.7775637939335601,-0.016873697599524,-0.018045112781955003,1.8537211291701998,-0.7686740011580799,-0.060921424667949996,0.98161389172625,-0.0092010356944702,-0.11514202260508999,0.0020947892118356,7.9031007751938,0.12010597586105,0.045935282032126004,0.03804248306171,0.0081967213114754,-0.05224609375,-0.16393442622951002
2009-12-31,0.019725844199264,0.022099447513811998,0.026782553193611,1.5432016075016999,-3.6397350993377002,5.5983884648007,-3.2943775712327,-9.043831168831199,0.032537333975637996,0.026033690658499004,0.86510791366906,-3.8135168961201,-0.076183488095539,0.51572164948454,-0.0028932754678239,0.013730086590441998,0.030310948523648,-0.27797126686983,0.028909329829172003,0.033170013058181,0.039151047409041004,0.020325203252033,-0.10386398763524002,0.23202614379085001
2010-12-31,0.035081967213114996,0.021898821898822,0.070423287618012,-0.10903344745852,-1.8638090459465,-2.1482743106883,-1.8633284632753,-2.1097208207198,-0.052600007997974006,-0.031343283582089,-0.26149148183864,-0.6890569395017799,0.022869193689746,-0.14759394660772,-0.018533252211354,0.0020292590844738,0.0020289119959422,-0.18782031956586998,-0.32005108556833,0.026941482753777998,0.026609797243531002,0.0039840637450199,0.026215936529837995,-0.12466843501326
2011-12-31,0.030408615774469,0.022107690221077003,0.063417312046023,-0.550399054094,-0.39598373578956003,-0.5002238889510799,-0.33807692307692,-0.44847235693501003,-0.019993527781294998,-0.012326656394453002,-0.1442872687704,-0.65808297567954,0.012691782472488,-0.09994015559545201,-0.0045062228792142,0.033155936513917,-0.0015186028853455,0.28062360801782,-0.18482344102179002,0.034492189554515,0.021703407434966997,0.003968253968254,0.14380952380952,-0.14545454545455
2012-12-31,0.032277897325546,0.021894904458599,0.04845322559313299,-0.45759368836291997,-1.7532628108256998,-2.1495128233845002,-1.0782103428239,-0.80808969004177,-0.019238499971286,-0.017160686427457,0.30951169888097996,4.9665271966527005,-0.035086327701541,0.2094414893617,-0.0026345412305702,-0.013402014860738002,0.023067173637516005,-0.50492753623188,-0.24654377880183997,0.017082892703163998,0.016346513721563,0.0,0.019640495665376997,-0.028368794326241002
2013-12-31,0.027099463966647006,0.022075055187638,0.047866106743492995,1.4848484848485,0.76910450483312,0.16923226812158998,1.6686478454681,-1.3104238258877001,-0.010071436936409,-0.023888888888889,-0.38026801320645004,-0.7847124824684399,0.022305036444346997,-0.38024555616639005,-0.027471603870999003,0.0001386129464492,0.0094152626362736,-0.10655737704917999,0.11070336391437,0.015256338478765,0.018163722318985002,0.0,-0.058699202613123,-0.083941605839416
2014-12-31,0.021745433458974,0.021979418117139,0.041831222743883,-0.08536585365853701,-0.83350515463918,-0.9995833680526601,-1.565144766147,-1.6476014760148001,-0.0029279545723411,0.0090088625091471,-0.091193983077405,-0.86970684039088,0.0024659590436367,-0.20638675340034998,-0.0049137015728785,-0.011641873787305001,-0.0046637211585666,-0.47444298820446,-0.6101321585903101,0.008025603151157,0.0070772238514174,-0.007905138339921,-0.0039293733414984,-0.043824701195219
2015-12-31,0.018161180476731004,0.022003978120338,0.046834872131294,0.0608,-1.9269349845201,-302.0,0.035467980295567,3.2364672364672,-0.0046717883309109,-0.00095086141597765,-0.0,15.1,0.0,-0.05849478390462,0.0,-0.010610451528466,0.0027127003699137,1.2992518703242,1.8573446327684,0.018434035070581,0.020228296319304003,-0.01195219123506,-0.017470157282648,0.0
2016-12-31,,0.022016786279041,0.05154745627528,0.0075414781297134,0.9906479625918501,1.8066445182723998,2.4205518553757996,1.9199731002017,-0.011190415878171999,-0.0081787385062108,-0.13793103448276,-0.38819875776397994,0.0026737967914439,-0.14048278591215,-0.0074441687344912,0.014409221902016999,-0.0012297097884899,0.09707158351410002,0.0,0.020220235583009998,0.020226814324314,-0.0080645161290323,0.015121493377828999,0.0
2017-12-31,,0.022018567007855,0.053019554727842005,-0.0094810379241516,-0.36812080536913,-0.026751893939393995,-0.15883171070932,-0.0025333947489634,-0.015069318866786998,-0.012344875819332,-0.1,-0.23096446700507997,0.0066666666666667,-0.10082872928177002,0.0,0.011549925484352,-0.00098497906919467,0.0,0.0,0.020233170364799,0.020226793740791,-0.008130081300813,0.013714814053831998,0.0
2018-12-31,,0.022010015139163997,0.054964419276937994,-0.051889168765742996,0.29792883696229,0.09900267574799301,0.018849206349206,0.0094666358808588,-0.015514075887393,-0.012812067716223998,-0.11111111111111001,-0.5544554455445501,0.0013245033112582,-0.08550947260624701,-0.0050000000000001,0.0063996316758749,-0.0014789253142717,0.0,0.0,0.020218961958124,0.020218823981061,-0.0040983606557377,0.012313149227261,0.0
2019-12-31,,0.021991795806746005,0.053191943330204,-0.018597236981933996,-0.20744680851064,-0.045152722443559,0.053229470950989996,0.040942360475755,-0.02199048891928,-0.019984652854235,-0.1215,-1.2296296296296,0.0026190476190477,-0.11646136618141001,-0.0036180904522613,0.011208197996248998,-0.0012342631449025,0.0,0.0,0.020224739399852,0.020230255789992,-0.0082304526748971,0.013965361898088,0.0
