Date,ODA/CPV_LE_Value,ODA/CPV_LP_Value,ODA/CPV_PPPGDP_Value,ODA/CPV_BCA_NGDPD_Value,ODA/CPV_TX_RPCH_Value,ODA/CPV_TXG_RPCH_Value,ODA/CPV_TM_RPCH_Value,ODA/CPV_TMG_RPCH_Value,ODA/CPV_GGXWDG_NGDP_Value,ODA/CPV_GGXWDN_NGDP_Value,ODA/CPV_GGXCNL_NGDP_Value,ODA/CPV_GGXONLB_NGDP_Value,ODA/CPV_GGR_NGDP_Value,ODA/CPV_GGX_NGDP_Value,ODA/CPV_NGSD_NGDP_Value,ODA/CPV_PPPEX_Value,ODA/CPV_PCPIPCH_Value,ODA/CPV_PCPIEPCH_Value,ODA/CPV_PCPI_Value,ODA/CPV_PCPIE_Value,ODA/CPV_PPPSH_Value,ODA/CPV_NID_NGDP_Value,ODA/CPV_LUR_Value
2006-12-31,,0.0062630480167015,0.12451171875,0.55081756973389,1.5152505446623001,-0.84273094840468,-7.3153824119164,-9.1627430910952,-0.089197201748321,-0.07965063549056402,-0.15592203898051002,-0.12036613272311,0.026611966308452004,-0.0060512117327927,0.0084143734050624,-0.00023293733985548998,10.15668202765,2.304718590108,0.048428586344695,0.05812672690613099,0.0,0.06102497042157,-0.37383177570092996
2007-12-31,,0.004149377593360999,0.12114633087277,1.6758321273517,-0.55661077770216,11.473242978901999,-0.08944527600127,0.45404388714734,-0.16398420111416,-0.20100434676962,-0.8142885336490999,-1.0283558792924001,0.010078862679917,-0.11519313819577999,-0.029991108679297003,0.0005718885029228599,-0.092523750516315,-0.41888869774642995,0.043946293898762,0.033778836398924,0.0,0.21216033804801002,0.13432835820896002
2008-12-31,,0.0020661157024793,0.087529047250194,0.059568878930696,-0.62401451196539,-1.4880644330186001,-0.41120797011208005,-0.90927906174543,-0.10358412459026,-0.09679326890585901,-0.37300743889479,4.247706422018299,0.016735522722498,0.0043046469850523,-0.060814383923849996,0.015538008848621,0.5459717796995901,0.97483718176436,0.06793169538709701,0.06671559257236499,0.0,-0.023119008424517997,-0.14473684210526
2009-12-31,,0.0020618556701031,-0.0053418803418802,0.066720140002917,-2.7739840415662003,-0.94264402111545,-1.4037225042301003,-2.8577313054499,0.10887553648069,0.10060046016572999,9.072881355932198,-9.856643356643401,-0.074001377410468,0.10816739790753,-0.17774024024024,0.014028724490858999,-0.8542617400264999,-1.0553140458702,0.0098911807698555,-0.0036879409929441,0.0,-0.094639803732065,0.0
2010-12-31,,0.0041152263374486,0.027210884353742,-0.15052293389842003,-1.4415271966527,-16.00200080032,-0.85184409052808,-1.4881460003411,0.12983031954422,0.10522290395499,0.80834595322228,0.8387287801026501,0.03841433937005,0.17776762600883,0.15302442364757002,-0.0070714961147885,1.1,-10.284552845528001,0.020786760803487,0.034253779879718,0.0,0.03147752778234,-0.17692307692307999
2011-12-31,,0.0061475409836066,0.06099686301847299,0.31061398567634996,0.94053541814736,0.09791944518538302,-16.510608203678,4.0324947589099,0.06566362465400499,0.09808082672079699,-0.28789429608263,-0.3296833064949,-0.082079931241942,-0.13932561026065,-0.17088331947579,0.0060038921783777,1.1519961519961999,0.045242265032107,0.044736614070882,0.035813271017879,0.0,-0.012100626260482,0.14018691588785
2012-12-31,,0.030549898167006,0.030223390275953,-0.29858169091914,-0.60786228787694,-1.2152765967785,-2.1436257523254,-1.8559327917794999,0.17459174488877,0.22285242136515,0.34156539918986,0.37043561819346993,-0.04958645443196,0.040379762047831,0.37409865813476006,-0.011668587421798,-0.4316048278945,0.15861491203574,0.025433186047564,0.041485534402638,0.0,0.07980552272483099,0.37704918032787005
2013-12-31,,0.011857707509880999,0.020089285714286,-0.6535364145658299,2.0305105853051,-2.1574314411466005,-0.55155091300534,-0.0072193380921478,0.087730437448001,0.086292788511091,-0.12184669328917999,-0.16641346266215,-0.0055416444316736,-0.04002541296061,0.21682015638575,0.0052889120249871,-0.40542666142352,-0.97999517956134,0.015125556086621,0.00083480263394614,0.0,-0.030523147341974,-0.023809523809523996
2014-12-31,,0.01171875,0.027195998749609,0.47422940879232006,-0.5312307376207099,0.70115054602184,-2.3177453769558998,-1.7108423890841,0.11138060828083,0.11667404642925,0.061224489795918,0.043319781298192,0.023363328655164,0.033632152096745,-0.041412006625921,0.0030862279666106,-0.49470899470899,23.156626506023997,0.0076420479239707,0.020040123390211002,0.0,0.010930924766499,-0.26829268292683
2015-12-31,,0.013513513513513998,0.04930006086427299,0.19777206512425002,1.0076703922858,-0.6183297988192801,0.53892861961948,0.5444827586206901,0.050204203605937005,0.052350336571596,0.077968227424749,0.09903251814028499,-0.057236205227492995,-0.019586728754366,-0.029168156358002996,0.0039439993392253,1.9502617801047,0.24488778054863003,0.022543797220843997,0.024968630602432998,0.0,0.0044672318391795,-0.16666666666667002
2016-12-31,,0.011428571428571002,0.060034802784223,0.15939333237945003,-0.078157406396682,0.09415828202432801,-0.13555458132398,-0.21262186499963,0.018987178050063,0.019745931494806,-0.23143300368430997,-0.29710233524881,-0.0013263166901982,-0.07177843084869501,-0.054626361822925004,0.0058207696579527,0.1206743566992,0.013221153846153999,0.02525959098163,0.025288858321871003,0.0,-0.016829231313489,-0.1
2017-12-31,,0.013182674199623002,0.06155950752394,-0.0098728865852154,0.0050917702782711,0.015371946198187998,-0.17243128106298997,-0.22542533081285,-0.0012185318383752,-0.0012668584549606,-0.09347798662798,-0.13132718733693,-0.0059120897952188,-0.028110908567591,0.04512254504138901,0.0041511594617806,0.0019794140934285,0.0019770660340055,0.025309251487973,0.025335900239474,0.0,0.033669168294438,0.0
2018-12-31,,0.013011152416357,0.062113402061856,-0.097719057709086,0.03428369462771,0.017166801838334998,-0.10895943130286001,-0.11592434411225999,-0.028238344163821,-0.029350880438325,-0.33328694684108,-0.46535843011614003,0.00090501637648685,-0.078117801908523,0.023109178443858,0.0038896242745138,0.0015804030027657,0.0015785319652723,0.025346592923017,0.025383699477932998,0.0,-0.00099457954149899,-0.055555555555556
2019-12-31,,0.011009174311927,0.06163552535792299,-0.16259151816549,-0.094315981319057,-0.21674418604651,-0.20674002751032003,-0.21504485852312,-0.04739402605102099,-0.049341597771143,-0.43185138801920003,-0.5992509363295899,0.0021097954790097,-0.07213735008566499,0.026382100245909,0.0044425511197663,0.0015779092702169998,0.0019700551615447,0.025398357651141002,0.025425242768002003,0.0,-0.0076658868037234,0.0
