Date,ODA/TUR_LE_Value,ODA/TUR_LP_Value,ODA/TUR_PPPGDP_Value,ODA/TUR_BCA_NGDPD_Value,ODA/TUR_TX_RPCH_Value,ODA/TUR_TXG_RPCH_Value,ODA/TUR_TM_RPCH_Value,ODA/TUR_TMG_RPCH_Value,ODA/TUR_GGXWDG_NGDP_Value,ODA/TUR_GGXWDN_NGDP_Value,ODA/TUR_GGXCNL_NGDP_Value,ODA/TUR_GGXONLB_NGDP_Value,ODA/TUR_GGR_NGDP_Value,ODA/TUR_GGSB_NPGDP_Value,ODA/TUR_GGX_NGDP_Value,ODA/TUR_PPPEX_Value,ODA/TUR_PCPIPCH_Value,ODA/TUR_PCPIEPCH_Value,ODA/TUR_PCPI_Value,ODA/TUR_PCPIE_Value,ODA/TUR_PPPSH_Value,ODA/TUR_NID_NGDP_Value,ODA/TUR_LUR_Value
2003-12-31,,0.013104472185190001,0.073642398488032,8.263940520446099,1.0749420236788,-0.21572694701113002,0.049169896453983,-0.041599294428928,-0.085162162162162,-0.0935883811548,-0.27633492624143,0.57072368421053,0.078049459149247,-0.29715358148264004,-0.04042602454271799,0.21011673151751,-0.43860504276155005,-0.38060932502946004,0.25338096133357996,0.183989083466,0.010140405616225001,-0.00096514136482341,0.016014234875445
2004-12-31,,0.012710660505735001,0.12370247771234,0.45264847512038997,0.060941176470588,0.09585637573134599,0.14864641340905,0.045858895705522,-0.11944222872167999,-0.13995622948257,-0.58053402239449,-0.012146596858639,0.0070656557509275,-0.5166889185580801,-0.1410819418975,0.09324758842443699,-0.66066777172626,-0.49154845372031003,0.08597914020859798,0.09354590856703801,0.039382239382239996,0.10189236801728,-0.023642732049037003
2005-12-31,,0.012447765161024,0.11889164844307,0.22734806629834,-0.28581725438013,-0.09822277481167299,-0.40575049200787,-0.39727232732071993,-0.1157820573039,-0.16440372975626,-0.81496691763632,-0.034767860928556,0.036682257961171,-0.63881215469613,-0.068179902800798,0.036764705882353,-0.048732263317051,-0.17477284874399,0.08179633329957,0.07720007026172501,0.034175334323922994,0.030943785456421003,0.06367713004484299
2006-12-31,,0.012090540501123001,0.10178097410064998,0.35381498987171,-0.44445307041378995,-0.0042173560421735,-0.38546042003230996,-0.31589618815896003,-0.11735913488902,-0.15213608283303,-0.14919852034525,-0.036459477267736004,0.012763064371581001,1.2530274059911,0.0088031353632801,0.060992907801418,0.17337082772955,0.25038860103627,0.09597214892494198,0.09653485527925,0.013649425287356002,0.10330165082541,-0.047849915682967994
2007-12-31,,0.011816413286260001,0.07453686392476598,-0.028262676641729,0.51327557294578,-0.071102785469946,0.75749211356467,0.5190278601067,-0.14222766744045998,-0.16080866129611998,1.8260869565217,-0.33644859813084005,-0.034389112657146004,0.092503536067892,0.0039746578208115,0.03475935828877,-0.08763155152651901,-0.13115093753237,0.08756028798434301,0.083872406870399,-0.0077958894401135,-0.044751756971208,0.016493247730795
2008-12-31,,0.012532934558142998,0.02633391116563,-0.054576561163388,-0.33437990580848,-0.48373520385796004,-1.098795901578,-1.1564036525403998,0.0019545443155337,-0.0051666157138491,0.39435897435897,-0.4314668498797701,0.0044872807710539,0.040134645261522994,0.027117130525376,0.098191214470284,0.19278209227958,0.19995230714200998,0.10444115945755002,0.10063799135625,-0.022142857142857002,0.03389026011012,0.09114668409016699
2009-12-31,,0.013432730853084,-0.041031160064017996,-0.6429605501266701,-2.0837957824638997,-2.363620923913,8.3504920514762,5.598802395209599,0.15225709641114998,0.15337574137242,1.2364840014711,-1.9196374622356,0.024412495674332,-0.16056758775205,0.11992117312931,0.045882352941177006,-0.40147453083109996,-0.35155007949126,0.06250646596317,0.06525804038893,-0.045288531775017994,-0.31420438894499997,0.30269461077844
2010-12-31,,0.013226925746009999,0.10490659959849,2.1469842878865,-2.1217357910906003,-2.4478764478764,-2.4255990932642,-2.3475499092559,-0.08113211642393599,-0.07430992219972299,-0.43381022858083,-1.1636005256242,0.021496790836224997,-0.10854092526689998,-0.050150087982609996,0.043869516310460994,0.37034074548071994,-0.019154152620288002,0.08566664435289,0.064010297817565,0.03672532517215,0.30693533270853,-0.14755228683060997
2011-12-31,,0.012972069640973999,0.11018171256622,0.56079884039298,-0.31416181672943,-0.45496774193548,-0.36049747288318,-0.29337822671156,-0.075540333057754,-0.098811271335233,-0.8144060412431,7.281124497992001,0.04010462074978201,-0.09214903526280802,-0.04004794856426799,0.06357758620689599,-0.24445482138688002,0.63224496172473,0.064719730941704,0.10448171569975,0.045756457564576,0.20657685806485002,-0.18252898355351999
2012-12-31,,0.012643678160920001,0.039610707150446,-0.36539056856878005,1.11846921797,1.5727588383838,-0.89006304946275,-0.92296696315121,-0.07627053683215401,-0.11306291919514999,1.2300469483568002,-0.33608147429679996,0.0088157932768737,0.21949432026382998,0.030962651833352,0.049645390070922,0.37391841779975,-0.41003062787135997,0.08891474419045402,0.061638038337067005,-0.0084685956245589,-0.14535574800474999,-0.07299912049252401
2013-12-31,,0.021352740869333,0.0560000468185,0.29105691056911,-0.9648130694313499,-1.0344764124899999,5.7907915993538,7.412371134020599,0.0031256915246736,-0.011919337414476,0.066666666666667,-0.038714390065741,0.047189272821041996,0.31219951923077,0.047953312962809996,0.04440154440154401,-0.15733243364822,0.20051914341337,0.074929291464211,0.074004595976176,0.0078291814946618,0.022749850983509,0.072224857685009
2014-12-31,,0.010982689189895999,0.04751886345436099,-0.26360201511335,10.756696428571,-13.676156583629998,-1.1508266920423,-1.1882352941176,-0.073486833034606,-0.089544079594737,0.32368421052632,-0.7241641337386,-0.034310104243618,-0.022212044882069997,-0.020042554309281,0.079482439926063,0.2069931936474,0.21716216216216003,0.09044541296163902,0.09007030260687302,-0.0021186440677965,-0.03501699854298201,0.04855657560004401
2015-12-31,,0.010708188919352,0.04914335899034901,0.022917735590901003,0.027150180368331,0.019932622122402998,-4.0623028391167,-3.5748697916667003,-0.013511904761904999,-0.018253142262429002,-0.053677932405567,0.12947658402204,-0.0096897577560561,-0.17072599531615998,-0.012035597491020001,0.047089041095891,-0.23109243697479,-0.21516598201398998,0.069538281320893,0.070690642813365,-0.0070771408351026,0.0020635160299965,0.046202531645569
2016-12-31,,0.010428395946361,0.056988675258661,-0.0036783146630999,-0.09648798521256899,-0.19584365538123,0.42389904712851,0.45284450063211,-0.023290894828939,-0.029071189757808,0.11764705882353,0.25853658536585,-0.0096129087631965,0.018921208698108,-0.0030387714681065,0.043336058871627,-0.071757262007478,-0.12745791483944,0.064542751474155,0.06167597012915099,-0.0028510334996436,0.0072325464590657,0.0
2017-12-31,,0.010118150619879,0.05676188704157299,-0.039100520221514,0.20621931260229004,0.19801471846654,-0.012841381805028,-0.0092238078663419,-0.015166491629084998,-0.014823835719985001,0.1640037593985,-0.6027131782945699,-0.0059219458647485,0.049611973392461,0.0038916859436658,0.040752351097179,-0.044461657629744,0.0,0.061680137083072004,0.06168045135303701,-0.0042887776983559995,-0.0003490575446294,0.0
2018-12-31,,0.0098287490910913,0.057220879128321,0.0080335312609152,0.03612618724559,0.023714285714285997,0.0053133015756687,-0.0021078517477603,-0.023617601856788996,-0.025745950554135,-0.02462656439241,-0.48292682926828995,-0.0014529815180749999,-0.04357010826511799,-0.0029819995662546,0.039156626506024,0.0,0.0,0.061676158368678,0.061675163971428006,-0.0050251256281408,0.0018955454681499,0.0
2019-12-31,,0.0095716945996276,0.056593672017827994,-0.0038115038115039,-0.0021280078572598,0.006279653921295001,-0.0016402405686168,0.0051047350818518,-0.015804690009637,-0.014875743787190001,-0.14983443708609,0.16037735849057,0.0070135614923462,-0.09884041965764802,-0.0032900103322639,0.040579710144928,0.0,0.0,0.061680026226305,0.061678333484444,-0.0043290043290043,0.0030868807567836,0.0
