Date,ODA/IND_LE_Value,ODA/IND_LP_Value,ODA/IND_PPPGDP_Value,ODA/IND_BCA_NGDPD_Value,ODA/IND_TX_RPCH_Value,ODA/IND_TXG_RPCH_Value,ODA/IND_TM_RPCH_Value,ODA/IND_TMG_RPCH_Value,ODA/IND_GGXWDG_NGDP_Value,ODA/IND_GGXCNL_NGDP_Value,ODA/IND_GGXONLB_NGDP_Value,ODA/IND_GGR_NGDP_Value,ODA/IND_GGSB_NPGDP_Value,ODA/IND_GGX_NGDP_Value,ODA/IND_NGSD_NGDP_Value,ODA/IND_PPPEX_Value,ODA/IND_PCPIPCH_Value,ODA/IND_PCPIEPCH_Value,ODA/IND_PCPI_Value,ODA/IND_PCPIE_Value,ODA/IND_PPPSH_Value,ODA/IND_NID_NGDP_Value
2001-12-31,,0.018278487506656,0.072129211832592,-2.2307692307692,-0.76996434937611,-0.84116827166751,-1.1598049837486,-1.7126230975828,0.068962239813168,0.34650205761317,0.71313326879639,-0.024522219663827005,0.31867397406764003,0.085151244830103,0.051849976796186,0.009173406983625999,0.13017286537454,1.0390532544379,0.043155568527707,0.05168969535541901,0.023744911804613,-0.0007830853563039201
2002-12-31,,0.015327290076336002,0.05397580085145599,0.7601744186046501,5.874467260751599,5.870761866773,-42.518644067797,5.2543969849245995,0.052357483995529,-0.0068255908720457,-0.060275004708984996,0.046382627168653004,-0.059604662949823,0.026866452432554002,0.041312369645436005,0.021503274362232,-0.078794901506373,-0.21454826852389,0.039751379007115,0.04060150375939799,0.0086149768058316,0.020871143375681002
2003-12-31,,0.015447393622370001,0.10011083962042998,0.88026424442609,-0.08634391027447401,-0.28243831640058004,-0.37279555845852,0.09089083057145698,0.016813518406759,0.059185557493075996,0.098616957306073,0.026110985788404997,0.081384068125472,0.037844328808995,0.12121562283337,0.018371447708353,-0.029685534591195002,-0.14014778325123,0.038567996155694,0.034900745360511,0.035041611914147994,0.08408080808080799
2004-12-31,,0.015676075890791,0.10890665240392,-1.1501976284585,0.68157423971377,0.22046925566342998,3.5218693048685004,1.6339532314491,-0.011324383034792,-0.19843114468332,-0.38770297390987,0.038582028029678,-0.19946172248804,-0.047228358051962,0.11566869353121001,0.02893920886968,-0.0067409904070522,0.19364079060440997,0.038310985258598995,0.04167011161637,0.025179856115107997,0.22313741567589998
2005-12-31,,0.015091513142428003,0.12800891422557,2.4707602339181,-0.34787234042553,-0.25111037454425,-0.56271410887526,-0.5184900384480999,-0.028755297818438996,-0.13350247674278,-0.32985697258640995,0.0087315446896334,-0.11156767525836998,-0.034555089423714,0.03039167385146,0.0098621130490365,0.15139650221874,0.18838492920566,0.044116467474132004,0.04951892125477299,0.042930856553147996,0.05582302395027099
2006-12-31,,0.014362657091562,0.12621344978458998,-0.15080033698399,-0.098948078978455,-0.06258298663362,-0.30704410796577003,-0.54761904761905,-0.04680198778648599,-0.14012827663134,-0.41351711871943,0.06693946070716598,-0.11688857743517998,0.010291595197256,0.035501897618265,0.032552672031828996,0.5771933801859,0.3986268174475,0.069567147234813,0.06926541518915,0.036414011478330004,0.029119769119769
2007-12-31,,0.014159292035398001,0.12723119270885,0.2609126984127,0.16444000499438,0.7028328611898,0.84628538856166,2.4613286264442005,-0.039982881153706,-0.28538997892005996,-1.2714177407126999,0.079850526108762,-0.22901126805268998,-0.005131107338238,0.063259357594297,0.030125229880023998,-0.1480523214029,0.09110597747617699,0.059272323886897994,0.075576232426188,0.040672140538475995,0.068846574497322
2008-12-31,,0.013961605584642,0.059289364478319,0.7954366640440601,-0.63977053399099,-0.9723285088449,-0.62051044561079,-0.53201056974642,0.006903073286051999,1.260267755843,-15.801675977654,-0.10263181859576,0.95553725813092,0.12514695286131,-0.13082539424043,0.065714528606648,0.5517125021089899,0.062590975254731,0.09196865817825699,0.08030482369617001,0.0095412844036697,-0.099937031012226
2009-12-31,,0.013882099827883002,0.093036465499179,0.22567922874671,-1.3902366423574999,6.9579158316633,-0.11322033898305,-0.5752352649826601,-0.026953418482343998,-0.021082220660576002,-0.022079637667483998,-0.06038157093566099,0.0017894736842105,-0.04718729987529099,0.051868969178403,0.052648372686662004,0.15407197999348002,0.47534246575342,0.10614266888372001,0.11846581494282002,0.087786259541985,0.06340183646698701
2010-12-31,,0.013998443297053001,0.11607121758439001,-0.038612799427959005,-11.149885583524,3.7479224376731004,1.2258409785933,0.55713619402985,-0.069891212927599,-0.13834478515023999,-0.19220378232343,0.016362458148828002,-0.06798360827991999,-0.037001662598606,0.0038297114356966,0.076689906032131,-0.10523836442435,-0.184856925804,0.094971962500234,0.09656957302582599,0.047117794486216,0.00060307017543875
2011-12-31,,0.013692185735583999,0.088396077742786,0.5459278542209001,-0.66512606620824,-0.35515010077437,-0.45352751253692003,1.2460685936798,-0.010450947256069999,-0.052487502975482,-0.10487338748208,-0.0061101960575953,-0.050732807215333006,-0.02042390625574,-0.07230946677313499,0.063414977477477,-0.0025271138254185,-0.029201615408512,0.094726768329849,0.09375051697611698,0.025530556885272004,-0.026765656676346998
2012-12-31,,0.013388330112801002,0.066168302538867,0.14096704354102,-0.8282091561939,-0.81674617535779,-0.75700817096166,-0.86203907448156,-0.0020074004164607,-0.0723527195076,-0.18334667734187,0.041537474607078,-0.10712589073634,0.0074999062511718,-0.04501402703392,0.052882387980674,0.077694500158345,0.10826666666667,0.10209391391225,0.10389525269228998,0.016337326902132,-0.023251231527093998
2013-12-31,,0.013155224972763,0.065816693763118,-0.63609529833439,1.5578053559765,1.2827648114901,-3.3388515261252003,-3.230546157564,-0.076930004953542,-0.022342586323629,-0.14019607843137,0.014371503361905,-0.048550146315509,0.0042803439163285,-0.0085792495660301,0.053432235353280996,-0.070819864825154,-0.19980750721848,0.094864869969216,0.083137322962672,0.017605633802817,-0.09432548488429099
2014-12-31,,0.013156529565193998,0.073983672886295,0.20393974507532,0.52808988764045,0.5507274872198199,-2.921698739217,-2.8418201516793,-0.016424366604872,0.00041551246537397995,-0.016343595591029998,-0.014673885543693001,-0.012861736334405,-0.010599659031947,0.013064412943196997,0.055555555555556,-0.17541640312039003,-0.081910031272552,0.07821879528048,0.076330148342427,0.023168346622536,0.02351556036403
2015-12-31,,0.01315556543449,0.08317792955306501,0.07459095283926899,0.35828877005348,0.04247495879295,0.021408839779006,0.058823529411765,-0.015723166457245,-0.071300013844663,-0.11862442040185,0.0017973604477995,-0.064721710805835,-0.017980221756068,0.008907501578754999,0.04290802193453601,-0.047430324725134,-0.039958076771911,0.074512250725924,0.073283292067571,0.024702249669166003,0.013150940463236
2016-12-31,,0.013155554441194,0.08467371375999902,0.071652485445589,0.0,0.0,0.0,0.0,-0.017385315707255,-0.031753130590340004,-0.040771591407277,0.0019991798236622,-0.028619018776499,-0.0066753127860849,0.004052050732993,0.042009973980919005,-0.09636290430814698,-0.14328602620087,0.067331457328331,0.062775129397508,0.023676280671544998,0.0086841782251136
2017-12-31,,0.013156419245246,0.088224657767523,0.012536564981195,0.0,0.0,0.014198782961459998,0.0,-0.011914937262812,-0.015704387990762,-0.00045703839122502004,0.0049112395764056,-0.011691348402181998,-0.00019200491532579,0.0062668154078351,0.033345471570515,-0.070548046933016,-0.0046193055113093,0.06258173638598799,0.062494848193433,0.025091112980095,0.0067232514982811
2018-12-31,,0.013155795610766002,0.089719658310727,0.034255055716054,0.0,0.0,-0.020777777777778002,-0.027777777777778,-0.013321568830988999,-0.020491162208666,-0.012802926383173,0.0048872371837296,-0.011514195583596001,-0.0013442925180519,-0.0018259480256937,0.033427305678613996,-0.0023969319271332,-0.024483917426787998,0.06243066723555099,0.060955662731609996,0.025981129495419,0.0008159071678955901
2019-12-31,,0.013155991393078999,0.089244713360418,0.019553072625698,0.0,0.0,-0.0071485305798253,0.0,-0.013992390103627999,-0.030820824017886002,-0.042149143121816,0.0049647905162368,-0.030955800223392,-0.0036537056267068,-0.0010779734099893,0.033953624318005,-0.037642159218325,-0.022801837270340998,0.06008427243969901,0.059568024423164,0.026122884179661,0.00051330052235886
