Date,ODA/COL_LE_Value,ODA/COL_LP_Value,ODA/COL_PPPGDP_Value,ODA/COL_BCA_NGDPD_Value,ODA/COL_TX_RPCH_Value,ODA/COL_TXG_RPCH_Value,ODA/COL_TM_RPCH_Value,ODA/COL_TMG_RPCH_Value,ODA/COL_GGXWDG_NGDP_Value,ODA/COL_GGXWDN_NGDP_Value,ODA/COL_GGXCNL_NGDP_Value,ODA/COL_GGXONLB_NGDP_Value,ODA/COL_GGR_NGDP_Value,ODA/COL_GGSB_NPGDP_Value,ODA/COL_GGX_NGDP_Value,ODA/COL_NGSD_NGDP_Value,ODA/COL_PPPEX_Value,ODA/COL_PCPIPCH_Value,ODA/COL_PCPIEPCH_Value,ODA/COL_PCPI_Value,ODA/COL_PCPIE_Value,ODA/COL_PPPSH_Value,ODA/COL_NID_NGDP_Value,ODA/COL_LUR_Value
2003-12-31,,0.012581964238186001,0.059902488347772995,-0.22992985190958998,-1.6128026852074,-1.6128026852074,23.832826747720002,-2.015407554672,-0.052203734281722,-0.071889925511643,-0.21694816540477999,3.4186851211072997,0.028001471610186998,-0.2115975422427,-0.0021507688998817,0.10809118236472999,0.047405644274619005,0.12248110831233999,-0.073306659045442,0.071307617243557,0.06484593837534999,-0.001841620626151,0.082888940412706,-0.09465443111082598
2004-12-31,,0.012401730029392,0.082297401048728,-0.31882591093116996,1.8423317683881,1.8423317683881,0.25728274173807,4.2050905531082,-0.075292593585276,-0.12817299488055,-0.52993677947192,0.10963194988253999,0.00035788134245269,-0.44861178762786,-0.05086755038258401,0.060698541878603,0.044118192474676,-0.17194950911641002,-0.15219737856592003,0.059033126599065,0.054978298040247,0.0,0.040627341826357,-0.031258860221151
2005-12-31,,0.012297016616314,0.080751641385556,0.92421991084695,0.15292498279422,0.15292498279422,0.15868380062305,1.0322550310325,-0.07528803652085699,-0.14499801205004,-0.98892405063291,0.45024700070571994,0.021624200023849998,-0.88074204946996,-0.026721168767267996,0.0084185848252343,0.022673257095618998,-0.1444783197832,-0.11786104037832001,0.05050594485201099,0.04849769355442,0.0,0.04012139293246201,-0.13602107265676
2006-12-31,,0.012054372916131999,0.09976091121873802,0.38378378378378003,-0.23304680038203998,-0.23304680038203998,0.67770122668459,-0.23821202165564,-0.068462020687494,-0.098726570324796,69.857142857143,-0.18394160583941999,0.061592934127077004,10.962962962963,0.099591678008944,0.08903096269681901,0.026217571424963,-0.15006929320927,-0.07567010309278399,0.042936438178031,0.044827586206897,0.011070110701107002,0.10790762079027001,0.019817073170732
2007-12-31,,0.012002948901074,0.097451891208225,0.6171875,0.49579701120796993,0.49579701120796993,-0.29657451923077,0.025633238170442996,-0.09460785688248301,-0.11509763454517,-0.14616935483871,0.07453786523553999,-0.0038117578067732,0.09411764705882301,-0.0088060546046116,-0.023385570811702002,0.023171353347753998,0.29140461215933,0.26923934865046,0.055449728119697006,0.056902241948333,0.012773722627737,0.027853412489398998,-0.069921939877097
2008-12-31,,0.011928882008786997,0.055779261954021,-0.08592132505176,-0.44156519929233,-0.44156519929233,-0.25416488680051,-0.39206396209654,-0.013100436681223,-0.013814137064943999,-0.7012987012987,0.054384017758047,-0.029212656364974,0.030560271646858997,-0.049559353480572,0.035222812857072,0.05486427777371201,0.26208513708514003,0.34920913884007,0.06996127846689,0.07677398514051899,0.0072072072072072,0.01997654926825,0.0044642857142858
2009-12-31,,0.011878247958426,0.024236273527729,-0.2487731219328,3.5790160268356,3.5790160268356,-1.8733295150821,-1.9921091086215001,0.10371555890291,0.18919410587593,10.04347826087,-1.5884210526316003,0.012923520048511003,-0.14222954420648,0.10826638636534,-0.018619829158268996,0.026285705597437002,-0.39931399171072995,-0.7394815683209599,0.042027029790017996,0.02,0.019677996422182,-0.04457785157746799,0.06737777777777801
2010-12-31,,0.011805509237643999,0.052418923372582,0.51658291457286,-1.1706483252615,-1.1706483252615,-2.1853754508688996,-2.1848978790259,0.052315828381337005,0.10983631635307001,0.18038654259127,0.44096601073345,-0.023571669098663997,0.79385403329065,-0.0043018765666282,-0.065623471882641,0.026027285639946,-0.45943373780633,0.588,0.022721698437147005,0.031764705882352993,-0.014035087719298001,-0.013992869875222998,-0.017321785476348998
2011-12-31,,0.011755658097122,0.087899171967269,-0.043074884029158,-4.3014548056284,-4.3014548056284,0.98128169663439,0.84851247203116,-0.03442219880576,-0.063783597518952,-0.39812007277138,-0.92427063935444,0.021381768019313,0.20592433975732002,-0.025718659635992996,0.094934059032866,0.04856911571342099,0.50308098591549,0.17285894206549,0.034150318960142,0.03724819460281299,0.026690391459075005,0.076109554370424,-0.08262711864406799
2012-12-31,,0.011662504072103,0.05917262623505999,0.08518005540166201,-0.7030990392255999,-0.7030990392255999,-0.58360869362871,-0.5692190442033499,-0.10395388532893,-0.16003533438846,-1.0408060453401,-13.811475409836,0.063215156631026,-0.71944362237348,-0.013268619714375,-0.0048274543542682,0.0092287698702997,-0.07203513909224,-0.34577181208054,0.031696117990817,0.024367900329791,0.0086655112651647,0.0060898782024359,-0.040831408775982
2013-12-31,,0.011570993087459,0.062377018658751,0.04658583280153201,-0.15766423357664003,-0.15766423357664003,-0.49144964792668,-0.73764179415132,0.11651364686778,0.092020507427369,-12.679012345679,-0.25399872040947,-0.0027522935779816,0.19620253164557003,0.033582221593121,0.025647183132413997,0.0017789026916349999,-0.36352161565163,-0.20722199425523002,0.020166873460286998,0.019316759077088002,0.015463917525773002,0.028386558129827003,-0.070596166811133
2014-12-31,,0.011565968464167,0.065673084749592,0.17408536585366,-0.065569035239746,-0.065569035239746,0.43692307692308,1.8813962713209,-0.04900288087712901,-0.039926166686730005,0.53488372093023,-0.27530017152659003,-0.0048828816078127,0.090828924162258,0.012599287866338,-0.010723483961601,0.028383809234378,0.40951908775409007,0.7318840579710101,0.028431674965848,0.033462010879102,0.015228426395939,0.013882687233611002,-0.036269430051813
2015-12-31,,0.011580581546594998,0.064603168665008,-0.018177096857959,1.2207109737248998,1.2207109737248998,-0.029825634750688,-0.029735682819383,-0.025411017323019997,-0.0074814009863746,-0.075068870523416,0.07573964497041401,0.0026667614848529,0.092966855295069,-0.0011495807411414,0.0059168796743349,0.0053300244523874,-0.08547309180443201,-0.09085475194261801,0.02600886100899,0.030417508531843995,0.0066666666666667,0.0022020258637947,-0.032258064516129
2016-12-31,,0.011572441826703998,0.064923123326261,-0.056069822798202,-0.12513919821826,-0.12513919821826,-0.2263912974933,-0.22644721906923998,-0.044934665177898,-0.03444645639449201,-0.29932985852569,0.44114411441143997,0.0021277350260647,-0.18195266272189003,-0.011610588314941002,0.019999058867818,0.0092647103625275,0.17,0.0,0.030411105357232,0.030417624426374003,0.0049668874172185,0.0085091083413231,0.0
2017-12-31,,0.011563063801870001,0.066728721137109,-0.024096385542169,0.07732696897374701,0.07732696897374701,0.011004687181577,0.011188554658841002,-0.047017189079879,-0.037855990230712004,-0.0010626992561105,-0.041221374045802,0.0073958738808875,-0.082278481012658,0.0071235316277954,0.021313895552685,0.0075431183933469,0.0,0.0,0.030421425502767996,0.030415210803636,0.0049423393739704,0.01489403842345,0.0
2018-12-31,,0.011572760437778998,0.06707473471066,-0.021246052253804004,-0.18667848176045002,-0.18667848176045002,-0.15601693207015,-0.15617631053873002,-0.04645225464191,-0.03766828339603799,-0.065957446808511,0.0015923566878981,-0.0034775888717156,-0.15172413793103,-0.0054408814227905,0.012376908483151003,0.0069206533770473,0.0,0.0,0.030412208936438003,0.030417542852266003,0.0049180327868853,0.0078060965614146,0.0
2019-12-31,,0.011580613492016001,0.066573981357449,0.001760046934585,-0.090248774287271,-0.090248774287271,0.069500835920707,0.06943250214961298,-0.05163600959699599,-0.04404145077720201,0.061503416856492,-0.08346581875993599,-0.0036659734216927,-0.033681765389082,-0.0017095770506377,0.010128502587899,0.010330136561092,0.0,0.0,0.030415464248087998,0.03041575986686,0.0048939641109299,0.0090236629100344,0.0
