Date,ODA/ALB_LE_Value,ODA/ALB_LP_Value,ODA/ALB_PPPGDP_Value,ODA/ALB_BCA_NGDPD_Value,ODA/ALB_TX_RPCH_Value,ODA/ALB_TXG_RPCH_Value,ODA/ALB_TM_RPCH_Value,ODA/ALB_TMG_RPCH_Value,ODA/ALB_GGXWDG_NGDP_Value,ODA/ALB_GGXWDN_NGDP_Value,ODA/ALB_GGXCNL_NGDP_Value,ODA/ALB_GGXONLB_NGDP_Value,ODA/ALB_GGR_NGDP_Value,ODA/ALB_GGX_NGDP_Value,ODA/ALB_NGSD_NGDP_Value,ODA/ALB_PPPEX_Value,ODA/ALB_PCPIPCH_Value,ODA/ALB_PCPIEPCH_Value,ODA/ALB_PCPI_Value,ODA/ALB_PCPIE_Value,ODA/ALB_PPPSH_Value,ODA/ALB_NID_NGDP_Value,ODA/ALB_LUR_Value
2001-12-31,,0.0032701111837803,0.10404578955622,-0.16666666666667002,0.47040728436077,-4.1717970049917,-7.7808857808858,-2.9688811188810997,-0.054197662061636995,-0.054197662061636995,-0.055673009161380994,0.37636022514071005,-0.010618441246008001,-0.02240681706719,-0.0093124320968492,0.010266039162135001,79.02564102564101,-0.16059957173448003,0.031213392283566004,0.035282559992333,0.076923076923077,-0.029468681038872995,-0.021428571428571
2002-12-31,,-0.0026075619295958,0.058305518074,1.3332247557003,-0.8377405857740601,-0.6402185792349699,-0.49003093846683005,-0.63459421061978,-0.0060127543273611,-0.0060127543273611,-0.24278606965174002,-0.42420937840784995,0.040791514694168,-0.030696391057599002,-0.18717687607708,0.0086169442433019,0.67190003204101,-0.52352607709751,0.05218219795522,0.016814405073252,0.0,-0.022667646132858,-0.0419099756691
2003-12-31,,-0.0058823529411765,0.078848476714535,-0.30573781934943,1.4522949974214,2.0417982989064,-0.29145601617796,0.086216951788491,-0.07265061713308099,-0.07265061713308099,-0.24145860709592998,-0.84801136363636,-0.029968581326028997,-0.071650384938863,-0.015515829036766,0.03319214109651299,-0.5507857416634699,0.96192742415229,0.023438860446488,0.032981665471679,0.0,-0.08965961559110901,-0.047679512411910006
2004-12-31,,-0.0055884286653517,0.08614791316787901,-0.20229237884576998,1.1692954784437,-0.039106814731964,0.27292186942561997,0.10093959731544001,-0.054276207419120995,-0.054276207419120995,0.083152880034647,2.8504672897196,0.014201478282534999,0.02533189309732,0.09382800646077,0.0012275906795756,0.22397610921501998,-0.33171619163128996,0.028698473195852996,0.022034925356689997,0.035714285714286004,0.034363450499332,-0.04
2005-12-31,,-0.0069421487603305,0.091627534073989,0.5276027224602999,-0.71837130392632,-0.89029307836209,-0.21207025411061,-0.39502560351134003,-0.0060787626495741,-0.0060787626495741,-0.32227109156337,-0.82443365695793,0.02096298722568,-0.037381907156936005,0.060318596742437995,-0.0045573368496541,-0.17636807249913,-0.075317604355717,0.023619442484121,0.020374063493775,0.0,0.13034058081192,-0.020833333333333
2006-12-31,,-0.0076564580559255,0.08671702864337401,-0.068646864686469,0.8111876075731501,2.57824933687,-1.3613943561773998,-1.794975144431,-0.017261320622459,-0.017261320622459,-0.047787610619469005,0.8156682027649801,0.028633301251203,0.019487396737979,0.036546252532073,-0.010248663722984,0.0033855268726196,0.23307163886163,0.023710007540666,0.025133379113622997,0.0,0.01567071325285,-0.021276595744681
2007-12-31,,-0.0087219054008721,0.087134926381849,0.8375265768958199,1.2657987265989,1.7449962935508,-4.7995406824147,-3.1610613486564,-0.047219101624494,-0.047219101624494,-0.017348203221808998,0.35532994923858,0.0164522417154,0.012674007895283999,-0.17425291100073,0.008922491723215,0.23871784057360002,0.21647433346598,0.029369363681325,0.030566605519714997,0.0,0.013740356918186999,-0.028985507246377003
2008-12-31,,-0.0094754653130288,0.09649200710479598,0.50159097483367,-0.33020173635868,-0.38883530727981,-0.44909765996028006,-0.64831469461172,0.04963410754056599,0.04963410754056599,0.56620428751576,2.7846441947566003,0.04717704817428701,0.10344002188483,-0.11315452125037,0.0013963555121134,0.14368403132448002,-0.29277069021916996,0.033591625605692,0.02162,0.03448275862069,0.093637729440199,-0.022388059701492997
2009-12-31,,-0.0099077553809361,0.0413477503746,-0.08206511269504901,-1.3767689417658002,-1.5241762403737,-0.8318181818181801,-0.49321770068935,0.08444626713977499,0.08444626713977499,0.54931561996779,1.208312716477,-0.025822284081752002,0.062784715981282,-0.09790404180797199,0.014292686327825,-0.323012801429,0.72016651248844,0.022738062270047994,0.037186037861436004,0.03333333333333299,-0.08851724652829598,0.053435114503817
2010-12-31,,-0.0096618357487923,0.047950532783698,-0.21636935991605,-4.9426624563736,-4.2958815028902,-5.4864864864865,-2.5344449319877,-0.03298311382956,-0.03298311382956,-0.44679745355333,-0.81223392336993,-0.0090235740873032,-0.10733343052923,-0.034327622334525,0.034460636055357007,0.5602462620932299,-0.097337994084431,0.035481156981636,0.033578392049904995,0.0,-0.11913109006913,0.014492753623188
2011-12-31,,-0.0094076655052265,0.044420529186922006,0.18862703088734,-0.5236268600092701,-0.49884906280829,-2.0508932280848,-2.8384329425222004,0.027136857497492,0.027136857497492,-0.16040394551433,-0.57040572792363,-0.019880866562962,-0.039393741425492006,-0.20256557533984,0.0067334101178346,-0.03410372040586201,-0.50431933273756,0.034274720759087,0.016636382728111,-0.032258064516129,-0.039761949042217005,0.0
2012-12-31,,-0.0094970102004925,0.029562251279136004,-0.24986856928276002,-0.78028493053712,-0.6827792359288399,-2.7790077090334,-2.1166588894074,0.041649423099207,0.041649423099207,-0.025454545454546004,-0.08055555555555499,-0.028374559671738,-0.028019586507072997,0.14461784713885997,-0.00055003080172487,-0.40968777356288,0.46033653846154,0.020226464161233998,0.024303715612398,0.0,-0.057909823365355,-0.042857142857142996
2013-12-31,,-0.0099431818181818,0.019360850358918,0.037845414497397,5.1739830849778,3.2799356469777,-1.4885555555556003,-1.1990527928681,0.12081048867699999,0.12081048867699999,0.5031572904707199,5.084592145015099,-0.040796812749004,0.025468793730758995,-0.12571668298139999,0.0020692539679046,-0.04349975284231299,-0.23744855967078,0.019338679128388003,0.018536217524354,-0.03333333333333299,-0.059660375806915994,0.16417910447761
2014-12-31,,-0.0050215208034433,0.038087822053695,0.06376615859540799,-0.32883235485975,-0.35828589839974,0.25744826017739003,4.8908327501749005,0.022360230833581,0.022360230833581,0.28298644261982003,0.6857000993048701,0.08502242897491298,0.12039437772926,0.11092450415866999,0.00024164671250622002,-0.045478036175710994,-0.03507825148408,0.018468190777192,0.017880355713191003,0.0,0.08954962833406199,-0.10256410256410001
2015-12-31,,-0.0050468637346792,0.052084012784554,0.15371361204317002,-0.0134123821557,-0.017573221757321997,0.6384517996021,0.40746020432407,-0.0075446577166315,-0.0075446577166315,-0.12338145557375,-0.47245949926362,-0.0010718523906137,-0.026064979750921,-0.074292707508459,0.0049635421242205,0.43475906876015,0.67785234899329,0.026505140752613,0.029998815947496,0.0,0.026607271851674,-0.035714285714286004
2016-12-31,,-0.0050724637681159,0.06162621283982799,0.096368495519572,0.056841690473845005,0.045229982964225,0.09250469146704901,0.09444632005401801,-0.035620458356624,-0.035620458356624,-0.071477079796265,-0.22278056951424,0.0039087947882736,-0.0099734250429889,0.060191305700287995,0.0085449538878447,0.13207547169811,0.0,0.029998255915354002,0.029995483844479996,0.0,0.07818302646495401,0.0
2017-12-31,,-0.0050983248361252,0.066487575554063,-0.095425867507886,-0.0024235645041014,-0.022329068535572,-0.37112256239264,-0.40094084984962003,-0.04974569271565401,-0.04974569271565401,-0.19711098921192002,-0.7514367816091999,0.0,-0.034042821954146,0.16372038436148,0.0069773992935924,0.0,0.0,0.030003467210669002,0.029998883910777,0.0,0.032631159131286,0.0
2018-12-31,,-0.0047584187408493,0.06707918081261599,-0.18871364032654003,-0.08101289478602099,-0.07635242143869299,-0.48071979434447,-0.5923017507724001,-0.06526579035652201,-0.06526579035652201,-0.020951947164655,0.06358381502890201,0.0,-0.003007715443965,0.04292467696186599,0.006498676594005,0.0,0.0,0.029998434319712004,0.029999767803654997,0.0,-0.059688915417296,0.0
2019-12-31,,-0.0051489518205222,0.068635500590137,-0.19206721375537,0.01687849517031,0.0038805161988991,0.32023514851484997,-0.040101041995579005,-0.079725276517994,-0.079725276517994,-0.046057222609909,-0.0054347826086957,0.0,-0.0064926547743967,0.11875982110480002,0.0068415538879268,0.0,0.0,0.029998783935792004,0.030005184968101,0.0,0.0,0.0
