Date,ODA/CMR_LE_Value,ODA/CMR_LP_Value,ODA/CMR_PPPGDP_Value,ODA/CMR_BCA_NGDPD_Value,ODA/CMR_TX_RPCH_Value,ODA/CMR_TXG_RPCH_Value,ODA/CMR_TM_RPCH_Value,ODA/CMR_TMG_RPCH_Value,ODA/CMR_GGXWDG_NGDP_Value,ODA/CMR_GGXWDN_NGDP_Value,ODA/CMR_GGXCNL_NGDP_Value,ODA/CMR_GGXONLB_NGDP_Value,ODA/CMR_GGR_NGDP_Value,ODA/CMR_GGX_NGDP_Value,ODA/CMR_NGSD_NGDP_Value,ODA/CMR_PPPEX_Value,ODA/CMR_PCPIPCH_Value,ODA/CMR_PCPIEPCH_Value,ODA/CMR_PCPI_Value,ODA/CMR_PCPIE_Value,ODA/CMR_PPPSH_Value,ODA/CMR_NID_NGDP_Value
2005-12-31,,0.028001843742798,0.055868229462488,0.0059171597633136,-10.294829482948,10.349228611501,0.091041270551392,-0.06444047353138299,-0.16351303106034,-0.16351303106034,-7.559852670349901,2.5397048489108,0.17764095917045,-0.085331496901021,-0.21434450323339,-0.0056795207265324,6.972,2.4375,0.019926227745646,0.03465354617842201,-0.015873015873016,-0.17762738463047
2006-12-31,,0.027967716623697,0.06393955694655,-1.4591176470588,-2.3260740916085,-2.5531389026199,-0.018042029728343997,-0.28852811268951,-0.6922554611415,-0.6922554611415,8.2172936552499,5.7026007544173005,1.6076165318364,-0.0040383299110198,0.18677042801555999,0.0084277147010568,1.4616156547918,-0.3015873015873,0.049058562138142,0.024197790636507004,-0.016129032258065,-0.14735523883356
2007-12-31,,0.028024644239682,0.060051019235631,-0.11659192825112,0.023205997857907997,0.5236314449395301,0.19417475728154998,2.8953020134228,-0.24629641303663,-0.24629641303663,-0.85779117933723,-0.84645004591096,-0.57208281451153,0.072572331798502,0.035245901639344004,-0.015968295170111998,-0.7706889523033,0.42190082644628,0.011254367251028,0.034411915767847995,-0.032786885245901995,0.051825430130087995
2008-12-31,,0.028003182179792998,0.049017907470841,-1.8651196519217,-1.3217899511514,-1.0846519400491,-0.25902613864848,-0.73246898690558,-0.18743726998996002,-0.18743726998996002,-0.52195330905976,-0.50077160493827,0.045571118563819,0.21535208560261,-0.09470735123941801,0.016689041192680002,3.7448888888889,0.54402789886661,0.053377972095678,0.053128103277060995,0.0,0.067956646053594
2009-12-31,,0.028014239281845,0.027073387480107996,1.5582564962279999,-0.24640824071564,2.22763726095,-2.0160453043889,-2.1671228465626,0.038805970149254,0.038805970149254,-1.0215053763441,-0.90455950540958,-0.17716981132075,-0.077762547448334,0.1814451022605,0.029267320861016004,-0.43049831397527,-0.8225108225108199,0.030394210442295,0.0094295143800094,0.033898305084746,0.28341946329618
2010-12-31,,0.024992472146943997,0.045294484576534004,-0.0956749672346,-0.41726618705036,-0.8281727828746199,-1.01300510915,-1.5348323906746,0.14219183511692002,0.14219183511692002,21.604166666667,-4.2631578947368,-0.049415271726668,0.0099468358772082,-0.0021069415181367,0.013787670770408001,-0.57927631578947,1.7242841993637,0.012793427230046998,0.025688930406352003,-0.032786885245901995,-0.015960801435987
2011-12-31,,0.024970622796709998,0.062909062909063,-0.013768115942028999,-2.6154320987653996,1.0678531701890999,62.0,1.9889089502192,0.14904138110523,0.14904138110523,1.3944700460828998,1.7828784119107,0.081654806416596,0.16227995698194,-0.0038803926044283,0.0088536440249003,1.2986708365911002,0.06344881276761401,0.029398539807626,0.027322404371584997,0.016949152542373,-0.0052257937290474
2012-12-31,,0.025031049966561,0.06476383656911,0.32733284349742997,0.62208635842568,-5.4819795589026,-0.15603741496599,-0.7178115291680999,0.16489241223103,0.16489241223103,-0.38799076212471,-0.46009808292465,0.00072479928635157,-0.048407519236388,-0.020451420714939997,0.011715930496629,-0.18979591836735,-0.07503660322108299,0.023821639415131,0.025265957446808998,0.0,0.026464466250372003
2013-12-31,,0.024979028800447,0.070230643624983,0.015222806531968001,1.7208480565371,0.039006240998559996,0.30680100755668,0.63608562691131,0.23449348629205,0.23449348629205,1.5113207547170002,1.9661436829067,0.010864114992479,0.13290685772774,0.0049710509386514,-0.0006655820144948599,-0.13937867338371,-0.34626038781163,0.020500798303988998,0.016515348032858,0.03333333333333299,0.0067593665507918
2014-12-31,,0.02500682004183,0.068403235803627,-0.054798255179934995,-0.31506493506494,-0.10130530206769,-0.058596761757902995,0.4459813084112199,0.28072662361527,0.28072662361527,0.26245930378162,0.28006681514477005,0.0045745149911818,0.051090933730858004,-0.025837988826816004,0.0086060917373684,0.5609756097561,0.93704600484262,0.032001827444422,0.032000680503573,0.016129032258065,-0.030980241703434
2015-12-31,,0.025017743080199,0.071297880252882,-0.0083645803288145,-0.051068132979396,-0.047686375321337,-0.0028665028665029,-0.059850051706308,0.17082069361318,0.17082069361318,0.043047014481253996,0.036972596781209,-0.0072968672847972,0.0036101083032491,0.0068697729988054,0.0065343680135348,-0.1875,-0.1875,0.025997836645882004,0.026001055043602995,0.015873015873016,0.004305651786598
2016-12-31,,0.024969707460619998,0.072481879530117,-0.047411285631181,-0.0091914213400826,0.00013497098123908,-0.040246406570842004,0.010312113295751,0.10587864570568,0.10587864570568,-0.093001141118296,-0.11661073825502999,-0.017464352824141004,-0.03447242206235,0.0068229012162562,0.0060631528394766,-0.076923076923077,-0.076923076923077,0.023999869742904998,0.023996497330820998,0.0,-0.0023653476568274
2017-12-31,,0.024994722398142006,0.07465237318418401,0.059236641221374,-0.005243344985210999,0.00013495276653163998,-0.07773498787619501,-0.08138268916711999,0.08836473009339901,0.08836473009339901,-0.021178444118264,-0.044159544159544005,-0.0054561817977274,-0.0088260078946202,0.0065998821449618,0.00080553732322928,-0.083333333333333,-0.083333333333333,0.022002353277892996,0.022002377151106006,0.015625,0.015114843171153
2018-12-31,,0.025003089343823,0.075345766469086,0.0057653502450274,0.096634680362211,0.10538388881392999,-0.021187751314569,-0.036592592592592996,0.07182336513846901,0.07182336513846901,-0.024850042844902002,-0.038748137108793,-0.0031672416718512,-0.0076516914265258,0.010010537407798,0.0008943210612610301,0.0,0.0,0.021999307659695,0.022000798354162,0.015384615384615,0.0092939516325241
2019-12-31,,0.024995981353480003,0.07481682314190301,-0.001146460303812,-0.23379344343110997,-0.245361328125,0.067941222942013,0.029524834691681,0.060442393811915004,0.060442393811915004,-0.016476274165202,-0.029198966408268995,-0.0010212765957447,-0.0041935338413672,0.010780733785429,0.00089352196574836,0.0,0.0,0.022001484272421,0.022000390583923,0.015151515151515,0.0088226786230836
