Date,ODA/MEX_LE_Value,ODA/MEX_LP_Value,ODA/MEX_PPPGDP_Value,ODA/MEX_BCA_NGDPD_Value,ODA/MEX_TX_RPCH_Value,ODA/MEX_TXG_RPCH_Value,ODA/MEX_TM_RPCH_Value,ODA/MEX_TMG_RPCH_Value,ODA/MEX_GGXWDG_NGDP_Value,ODA/MEX_GGXWDN_NGDP_Value,ODA/MEX_GGXCNL_NGDP_Value,ODA/MEX_GGXONLB_NGDP_Value,ODA/MEX_GGR_NGDP_Value,ODA/MEX_GGSB_NPGDP_Value,ODA/MEX_GGX_NGDP_Value,ODA/MEX_NGSD_NGDP_Value,ODA/MEX_PPPEX_Value,ODA/MEX_PCPIPCH_Value,ODA/MEX_PCPIEPCH_Value,ODA/MEX_PCPI_Value,ODA/MEX_PCPIE_Value,ODA/MEX_PPPSH_Value,ODA/MEX_NID_NGDP_Value,ODA/MEX_LUR_Value
2001-12-31,,0.018016454688361,0.016597431540654,-0.10681735326285001,-1.2208573885271998,-1.1717675508199,-1.1985367128299,-1.2076994243421,-0.017658303464755002,0.0052818890520844,0.020625415834997,-0.042267050912584,0.015419855857869,-0.21110555277639,0.016169154228856,-0.11037596673967999,0.030149812734082,-0.32880033733923997,-0.50842727983034,0.06366605231674599,0.044041491065735995,-0.028892455858747997,-0.069926346614606,0.25818181818182
2002-12-31,,0.011932097341849999,0.016691286761538998,-0.18326530612245,-1.4010011123471,-0.58468983721953,-1.2629639378784,-1.1328878990348998,0.05728393860524,0.069511955269591,0.09354628422425,-1.0882647943830999,0.032352132049519,0.099556119213697,0.041239054702947,0.029748743718593,0.040356298854754,-0.20888958693262,0.29427792915531,0.05037086575875499,0.057004543084829,-0.027272727272727,-0.045749451388226,0.07586705202312201
2003-12-31,,0.010760892182995002,0.034449715642992006,-0.41579210394803,0.16366158113731,1.6716101694915,-2.1141141141141,-3.3575418994413,0.029471310909677004,-0.065204255878103,-0.31147540983607,-9.5795454545455,0.075894046794223,-0.25346020761246,0.017135364861198998,0.012346281475698,0.038965577494321,-0.09648600357355601,-0.30228070175439,0.045509796544439,0.0397677630281,-0.026762956669499,0.095535669649553,0.14170584284755
2004-12-31,,0.0097836422990578,0.07163755679496,-0.22155688622754,5.8307508939213,-1.8437747819191,-8.8805031446541,-8.3428120063191,-0.08720137662860099,-0.077171683107102,-0.45930735930736,1.1668874172185,-0.056224302769109,-0.20278099652375,-0.09761301506867599,0.049602313810557,0.053985872855701,0.031421665568007004,0.30525521750063,0.046947447094158,0.05190827279627,-0.0091663029244871,0.03509172218673,0.15264705882353
2005-12-31,,0.027115188583079,0.063474669321658,0.13626373626374,-0.40952713313558003,1.4807330827068002,-0.033291528902064,-0.21116609294320002,-0.04470559431999,-0.040655358284862,-0.014411529223378999,-0.0030562347188263,0.07164602141507499,0.14389534883721,0.06635141126052901,-0.023330577753284,0.021222275410882,-0.14997869620792,-0.35792718166056997,0.039897941646947,0.03331873115675,-0.016740088105727,-0.016884891769166,-0.083184485838224
2006-12-31,,0.013629747254201,0.082277541374684,-0.22050290135397,0.61879432624113,0.60560712256109,0.23693831819789998,0.42165552979681,-0.032471360106615,-0.05552028442638599,-0.20877335499594,0.07786633966891499,0.056962335308810993,0.05972045743329099,0.041851441241685,0.06569171447380799,0.03140625,-0.089473684210526,0.21602160216022,0.036333125691257004,0.040536159600997004,-0.0040322580645163,0.052421524663677,0.0
2007-12-31,,0.016430436404327002,0.058929423746904006,0.74317617866005,-0.47261774370208004,-0.5844738084001899,-0.49332570556827,-0.5724700239808199,-0.0057745285018013,-0.023090108560481,0.18480492813142002,-0.16609783845279,0.0036144578313254,0.0051958433253399,0.011439212556531,-0.029828354586771,0.021814876533859,0.09248554913294801,-0.07253886010362699,0.039696267127908996,0.037590921618674,-0.022492127755286,-0.0032809237717841,0.03395491232953
2008-12-31,,0.016430891176308998,0.033893973970848,0.2932384341637,-0.9112149532710301,-1.690800681431,-0.32160331200602005,-0.77181960960287,0.14101880961261998,0.14057661872979,-0.16031195840555,0.049113233287858,0.13837842829439,-0.026640159045726,0.12326845519902001,0.028744257970619,0.039584877687176,0.29226505416982,0.7366320830008,0.051289009497965,0.06528618284288801,-0.014726184997699,0.044630642954856,0.06944818304172298
2009-12-31,,0.016427030588575,-0.03976620633389499,-0.49862410566868,-27.364522417154003,2.1837237977805,-5.5908460471567,-21.752212389380997,0.02561468232657,0.09299589768339801,4.2404540763674,-2.5487646293887996,-0.10298113972825,0.97140522875817,0.061270683733999,-0.027543215880455003,0.027666856816884997,0.032559953207253,-0.45251225490196006,0.052961774146483995,0.03573248338591299,-0.044371788883699005,-0.062571615649042,0.3735212685628
2010-12-31,,0.014909468711428002,0.06394456493243401,-0.59385290889133,-2.6001478743067996,-3.0376968758069,-2.2264652567976,-2.0987443733712,-0.03858938165923,8.279287981233901e-05,-0.15931469082316,-0.27120067170445,0.014604810996563997,-0.05677579776212201,-0.017871589321174,-0.014093471540280001,0.032195392728282,-0.21544561933535003,0.23167319529938002,0.041547201585999,0.044014360928227005,-0.0019550342130987,-0.037150216091151,-0.015393073117096999
2011-12-31,,0.012188079655619001,0.061923679580127,1.8972972972973001,-0.65127991867665,-0.8613152559554,-0.5960685781850401,-0.63392125576782,0.022969996921546998,0.033749103151387995,-0.21784961349262,-0.45103686635945,0.020722848611792,-0.07798769771528999,-0.017373071738805,-0.022964124319837995,0.031594514654477004,-0.18050541516245,-0.13243980009087,0.034056836439178,0.038188526398107006,0.00097943192948101,0.0092491838955387,-0.027917364600782004
2012-12-31,,0.011842503349613,0.058500478310440994,0.18470149253731002,-0.54193719358686,3.0968478757422995,-0.46639834126113,-0.46083166450700996,0.00011574341998663001,0.007074023651264,0.10631925726265,0.20251836306401,0.022441494935382004,0.06051941863235599,0.033074226489863995,0.031480083065886004,0.013945001954907,0.20763582966226,-0.065724011521341,0.041119479054301,0.035682900213421,0.0088062622309197,0.038858939802336,-0.050928585104345996
2013-12-31,,0.011464696083038,0.025763878855514,0.61496062992126,-0.66329187156494,-0.68956289027654,-0.5842285714285699,-0.33493554730173,0.07376631793352499,0.07056141652971401,0.038440714672442,0.1457242582897,-0.0054658809462806,-0.07009660750393201,0.00051637651224561,-0.10825897963853,0.0053984575835475,-0.074902723735409,0.11378923766816,0.038031596357484,0.039740409898737,-0.020368574199806,-0.068540540540541,-0.0076659269719589
2014-12-31,,0.010000253384799,0.041087899721356,-0.050706972208679,-0.10309278350514998,-0.43498563218390995,2.7311709730621,1.299605781866,0.033691879890496004,0.043428741210261,0.09436913451512,0.15841584158416,-0.047402318591670004,0.0084561488282194,-0.027353830273538,0.01667607368259,0.023267706468934,0.023659305993691003,0.0083039758429792,0.038945816506873,0.040068873982136,-0.0084158415841584,0.015041782729805,-0.034356576539947004
2015-12-31,,0.010001588881177,0.054453489364818995,0.042116076014381006,3.3582375478927005,1.4621741894468998,-0.28539855606306,-0.29357142857143,0.022521583183885,0.026149684400360997,-0.035731300619342994,-0.094017094017094,-0.027314522671955,-0.034259702922856,-0.028615827774409,0.024225295245785997,0.013993003498251,-0.072675911658962,-0.12453206887946,0.036119729234241,0.035076222666759,-0.0024962556165752,0.020215879985363998,-0.052631578947367995
2016-12-31,,0.0099936246139579,0.057277610144144994,0.13701330704781,0.25318681318680997,0.33230054221534,0.37670103092784,0.34762386248736,0.013745564302321002,0.014822865599851999,-0.13537549407115,-0.50798258345428,0.040963855421687005,-0.13172909947904,0.013071130360139,0.046861141224007,0.0056678166584526,-0.1008031016339,-0.14481185860889,0.032461677186655,0.030005664589650004,-0.0020020020020020002,0.05738366358827201,-0.055555555555556
2017-12-31,,0.010001311647429,0.059063138160758,-0.0039011703511053,0.32532444756226,0.31666666666667,0.17642653886476004,0.17812124849939998,-0.0029170354872454,-0.0024837643841858,-0.14371428571429,-1.0560471976401,0.021723646723647003,-0.15657142857143,-0.0005777230010783,0.021981642739468003,0.010169076206812,-0.07329842931937201,0.0046666666666666,0.030089808025047002,0.030134415994047998,-0.0025075225677031,0.017128805223437998,-0.058823529411765
2018-12-31,,0.0099996753352165,0.059940999406517,-0.04786771105308999,0.010586211459573999,-0.004857226964969,0.060343730108210994,0.060119729970704,-0.012468978875371002,-0.014140168128655001,-0.16816816816817,19.342105263158,0.016512722202858002,-0.18631436314362998,-0.0048171413156576,0.016120117907148002,0.0090964220739844,-0.001329345297441,-0.0046449900464498,0.030050711074851,0.030006594856012002,-0.0020110608345902,0.010254272613589,0.0
2019-12-31,,0.010005143206145999,0.059708363994778,0.0068555758683728,-0.09074243813015599,-0.0739535571661,-0.097010445431625,-0.09671993271656901,-0.012932883849219,-0.014621034826331997,-0.0024067388688326,0.18111254851229,0.018859028760019,0.0024979184013321,0.016844795539033,0.026153567219654,0.0096153846153846,-0.0016638935108153,0.0,0.029997126860746,0.029993749714164,-0.0015113350125945,0.026778346261759,0.0
