Date,ODA/BRA_LE_Value,ODA/BRA_LP_Value,ODA/BRA_PPPGDP_Value,ODA/BRA_BCA_NGDPD_Value,ODA/BRA_TX_RPCH_Value,ODA/BRA_TXG_RPCH_Value,ODA/BRA_TM_RPCH_Value,ODA/BRA_TMG_RPCH_Value,ODA/BRA_GGXWDG_NGDP_Value,ODA/BRA_GGXWDN_NGDP_Value,ODA/BRA_GGXCNL_NGDP_Value,ODA/BRA_GGXONLB_NGDP_Value,ODA/BRA_GGR_NGDP_Value,ODA/BRA_GGSB_NPGDP_Value,ODA/BRA_GGX_NGDP_Value,ODA/BRA_NGSD_NGDP_Value,ODA/BRA_PPPEX_Value,ODA/BRA_PCPIPCH_Value,ODA/BRA_PCPIEPCH_Value,ODA/BRA_PCPI_Value,ODA/BRA_PCPIE_Value,ODA/BRA_PPPSH_Value,ODA/BRA_NID_NGDP_Value,ODA/BRA_LUR_Value
2001-12-31,,0.014050320557170001,0.036238509528764,0.1149853606601,-0.14021474330054998,-0.14021474330054998,-0.77623069314464,-0.77623069314464,0.062039579301135996,0.08959725218338302,-0.22844444444444,,0.058680555555556,-0.26514730405781,0.031036941948366998,-0.04512523287104099,0.065891472868217,-0.028960817717206003,0.28439906260462,0.068404714112912,0.07673263015151101,-0.010519604717883001,-0.012164383561644,0.58661971830986
2002-12-31,,0.013594109787645,0.042320662597639995,-0.63977082835999,-0.09287438346101401,-0.09287438346101401,-5.1458687521251,-5.1458687521251,0.12143644223434,0.16057664584334,0.7085253456221201,-0.04852071005917201,0.035123289304987995,0.6804084720121,0.08363998561270501,0.061276103764723,0.088484848484849,0.23538011695905997,0.63299882705591,0.08449978671087499,0.12530337079578,-0.0025773195876289,-0.10161970268471,0.037106080781181
2003-12-31,,0.013142543023177002,0.031637061929909,-1.5009940357853002,0.81825543729755,0.81825543729755,-0.7036004264742101,-0.7036004264742101,-0.060177370184677004,-0.09185312774308901,0.17599460552933,0.018034825870647,-0.027796180545554,0.0081026333558408,-0.0046468876065974,0.12528086062503999,0.11469933184855001,0.74130177514793,-0.25778132482043,0.1471445850888,0.09299949329236802,-0.029392764857881,-0.026241047172141,0.05426688350594901
2004-12-31,,0.012689694882598,0.086207780135966,1.3280423280423,0.21187249475091,0.21187249475091,-6.076092971776401,-6.076092971776401,-0.05283828161651401,-0.077088614520453,-0.44571865443425,0.1362248014661,-0.016265702773169,-0.35498995311453,-0.07390211368766701,0.14219156531735996,0.051948051948052,-0.55158352589371,-0.18268817204301,0.06597999519313501,0.07600644138062401,0.0043261231281198,0.085346522097521,-0.068360802143379
2005-12-31,,0.012246393054546001,0.06475395611666099,-0.09943181818181801,-0.5069564760854699,-0.5069564760854699,-0.7080403379667499,-0.7080403379667499,-0.01885003467161,-0.0428802908746,0.23344827586207004,0.017741935483871003,0.028401048098063,0.13084112149533,0.044871617317120006,-0.057530327912274005,0.038936372269706,0.041224613519248006,-0.25141428759374,0.068701813819448,0.056897333458570995,-0.015573227302849,-0.053221943097505005,-0.14309368191721
2006-12-31,,0.011795777500527,0.07149438342454499,-0.21009463722396998,-0.64423384091151,-0.64423384091151,2.0145631067961003,2.0145631067961003,-0.034255960537133,-0.024073003551078002,0.014816885658373002,-0.15372424722662,0.0077315058864873,-0.015610651974287999,0.0084033613445378,0.012197178348603002,0.029250457038391003,-0.39097525473071004,-0.44780316344464005,0.041837144513533,0.031417749683015,-0.014136654325143,0.033938047636677994,0.015254754398454
2007-12-31,,0.011359329543331003,0.08918714908002601,-0.90974440894569,0.64082609997007,0.64082609997007,0.36281431933606,0.36281431933606,-0.026913196726207997,-0.045483393272689,-0.22920110192837,0.033083645443195996,0.034699215344377,-0.07058457711442799,0.0094900105152472,0.024044868947135,0.031083481349911,-0.12978011472275,0.41852323360917004,0.036413556691956006,0.04457330433236,0.00546261522704,0.093817140128909,-0.070920564960433
2008-12-31,,0.010920338007948999,0.07232353896160601,-16.088495575221,-1.4494709959869,-1.4494709959869,-0.19900927104163002,-0.19900927104163002,-0.0261380728735,-0.15678191489362,-0.43781272337384003,0.17401812688822002,0.031653746770026,-0.27868852459015997,-0.0025259758860447,0.029716392820346,0.062876830318691,0.5594616863499,0.32420910926632,0.056782982845376,0.05902313417528501,0.022071307300509,0.12909209951986,-0.14911051212938
2009-12-31,,0.010504772048535,0.0042867520924014,-0.12140762463343,3.3648538961039,3.3648538961039,-1.9950638297872,-1.9950638297872,0.053111850089045,0.09157335856594699,1.085187539733,-0.48558929490479,-0.051917998420952,0.28849721706865,-0.0052213868003342,-0.13950181684132998,0.064019448946515,-0.13913349771046,-0.26940020332091,0.048881032523077,0.043120283296903,-0.00033222591362123,-0.13801101768629,0.024201723264064997
2010-12-31,,0.010095895506965,0.08847407926122099,0.47263017356475,-1.8834030683403,-1.8834030683403,-3.1771581708291,-3.1771581708291,-0.027536253572979,-0.057404286058271,-0.14573170731707,0.19059529764882002,0.065414656558695,0.38372930165587,0.04723913499895,0.10361077111383,0.069306930693069,0.030891980360065,0.37036178107607,0.050390516919488,0.059090683472679,0.020937188434696,0.1346002915125,-0.16590374860819002
2011-12-31,,0.0097136543596354,0.048533112927966,-0.038984587488667004,-0.69213766971898,-0.69213766971898,-0.76761909750412,-0.76761909750412,-0.0050784075345101,-0.069841107648291,-0.069950035688794,0.30546218487395,-0.0040968141879142,-0.21748178980229002,-0.0087209302325583,-0.023678811068596,0.04772079772079799,0.3169279618972,0.10052462345574999,0.06636363489387401,0.065031090406289,-0.012044270833332999,-0.025347102129552,-0.11257787006823
2012-12-31,,0.0093466466055715,0.028456658658575003,0.13820754716980999,-1.1155555555556,-1.1155555555556,-1.2568466133213,-1.2568466133213,0.05460085690863299,-0.030731626936175,0.059861857252494,-0.32185387833922996,0.031556156968877,-0.092752659574468,0.033420972798058994,-0.14182665000567998,0.030591434398367996,-0.18565400843882002,-0.1021067199754,0.05403632797084099,0.058385689976388,-0.019439868204283003,-0.11168001622224001,-0.08357011532675901
2013-12-31,,0.0089840495477862,0.040191806483844,0.49606299212598,-10.224852071006,-10.224852071006,-4.7871873628785,-4.7871873628785,-0.028453674777431,-0.048848213526762,0.17740767559739,-0.10536307546274001,-0.0064277468779514,0.28691828508610995,0.0059934439062576,-0.040042358858957995,0.060686015831135,0.1480384900074,0.012330878575098,0.062042191146443,0.059108180800135,-0.0067204301075269,0.033670033670033996,-0.018238190771475
2014-12-31,,0.0086354411238011,0.019825581877775,-0.017174515235457,0.25529185375241,0.25529185375241,-0.86977175298343,-0.86977175298343,-0.0062800984284657,0.0025023086776489,0.18757687576876,-0.31034482758621,0.0084233318370256,0.034453302961276,0.022590764292488002,-0.070325427468285,0.036691542288557,0.013056092843327,0.056673997631535,0.062853378455051,0.06246278530286,-0.028416779431664,-0.05968089217689,0.021735091956158
2015-12-31,,0.0082951945080091,0.032613347557953,0.026211950394587995,0.23122125702606,0.23122125702606,1.5240213523132,1.5240213523132,-0.0032054690467148,-0.022286274626332998,-0.19005696530295,0.53846153846154,-0.0088766692851531,-0.22075419763280998,-0.025492247693332002,0.012310886977158,0.032993401319736,-0.06412092283214,-0.046269612552033004,0.058815000901288,0.059570922174672,-0.023328690807798997,0.015206669798027,0.10163636363636
2016-12-31,,0.0079775006113964,0.04154827810635,-0.0096127437517166,0.35650549906620005,0.35650549906620005,1.0916461050405,1.0916461050405,-0.00015240649861318002,-0.012612831656688,-0.035805626598466,0.25,-0.0051253599640697,0.0014129282938891,-0.0074914592484137,0.03032967032967,0.030197444831591,-0.04403264195851699,-0.11415141849924,0.056228659367052,0.05277278183288099,-0.017112299465241003,0.021861083800820996,-0.020960554546955
2017-12-31,,0.0076620358014567,0.047992519608792,-0.030782029950082997,0.16597827749732,0.16597827749732,0.11661611054938,0.11661611054938,-0.0045424059508567,-0.014128293523762001,-0.012599469496021,0.0,0.0041692115675705,0.059259259259259005,0.0029257738548914,0.030930034129692995,0.028748590755354998,-0.1184421127512,-0.1017623649801,0.049565369074610996,0.047397211212654014,-0.012694958287994,0.018393797045673,-0.039952798381659
2018-12-31,,0.0073485505152654,0.050961556785875,0.0034334763948498,0.025583836263448,0.025583836263448,-0.059160881376395996,-0.059160881376395996,-0.012617523657857,-0.022791844890567996,-0.03559435862995299,0.0,0.0037023324694558,0.0023310023310022,0.00085801137477928,0.019863438857852002,0.027945205479452003,-0.06616905386322401,-0.036286919831224,0.046290991628771,0.045684061192547996,-0.010286554004409,0.016672224074692,-0.029675153643547003
2019-12-31,,0.0070415802204736,0.05177279633379401,0.0091246079270031,-0.069847767685813,-0.069847767685813,0.039621430863009004,0.039621430863009004,-0.0082348562389504,-0.013323109364516002,-0.072075208913649,0.0,0.00076408283711852,-0.04850498338870401,-0.0043843534915618,0.011361330898761998,0.028251599147122,-0.017930438539641002,-0.0056917688266199,0.045463142005054004,0.045418927833789,-0.0092798812175204,0.010932546190008002,-0.0047050307636626
