Date,ODA/NPL_LE_Value,ODA/NPL_LP_Value,ODA/NPL_PPPGDP_Value,ODA/NPL_BCA_NGDPD_Value,ODA/NPL_GGXWDG_NGDP_Value,ODA/NPL_GGXWDN_NGDP_Value,ODA/NPL_GGXCNL_NGDP_Value,ODA/NPL_GGXONLB_NGDP_Value,ODA/NPL_GGR_NGDP_Value,ODA/NPL_GGX_NGDP_Value,ODA/NPL_NGSD_NGDP_Value,ODA/NPL_PPPEX_Value,ODA/NPL_PCPIPCH_Value,ODA/NPL_PCPIEPCH_Value,ODA/NPL_PCPI_Value,ODA/NPL_PCPIE_Value,ODA/NPL_PPPSH_Value,ODA/NPL_NID_NGDP_Value
2009-12-31,,0.011276620061716999,0.053257958940790995,0.5215328467153301,-0.046282153853614005,-0.046282153853614005,5.2700729927007,-7.7220216606498004,0.12548520947664,0.26312361599583,0.16410273124307,0.15033169887510997,0.8875429938687,0.032819074333801004,0.12621608462798,0.11046025104603,0.03448275862069,0.12908882685563
2010-12-31,,0.011339235260878001,0.060976594027440996,-1.5665627248741,-0.099166200620265,-0.099166200620265,-0.6992627085758599,-1.0128893662728,0.070464411012666,-0.031813963081365,-0.030461684911947003,0.13755578957926,-0.24552368879734,-0.18812239724787,0.095234352279069,0.089675960813866,0.0,0.17249358141304003
2011-12-31,,0.011547344110853997,0.055570347267126,-0.59737510584251,-0.063492959336287,-0.063492959336287,0.26322580645161,-6.625,-0.018331296522608998,-0.0066570804707887,-0.16102110947472,0.085699171222007,0.009450803318281999,0.07961641391614599,0.096125277201645,0.09681881051175699,0.0,-0.18885674893893
2012-12-31,,0.011710119310649999,0.066625828769098,-6.070452155625699,0.033687889836382004,0.033687889836382004,-0.35546475995914006,-2.8296296296296,0.056586690810321,0.034902423332618,0.20004818779472,0.047547506902712006,-0.1355456153126,0.18518901053501002,0.08309926472995402,0.11475409836066,0.016666666666667,0.0012997833694385
2013-12-31,,0.011501783504404,0.054001554001554,-0.31605143094152005,-0.09065733858038198,-0.09065733858038198,-4.2551505546751,10.453441295547,0.033151242502142,-0.10702999533751,-0.05033701419761901,0.051436102174503,0.18688327316485998,-0.32470588235294,0.098636844491461,0.07748868778280499,0.0,-0.0077220077220077
2014-12-31,,0.011478949262325,0.07242103238834,0.40479078229230003,-0.15829459849335,-0.15829459849335,0.068646543330088,-0.016613644397314,0.086361515732725,0.088414457272147,0.012231954092419,0.062412445624124,-0.083240393389435,0.043231384694799,0.09041938572261801,0.08083989501312301,0.032786885245901995,-0.031161948208775003
2015-12-31,,0.011490981536163,0.06938342448967401,-0.31167709907188,-0.07369463381193599,-0.07369463381193599,-0.5872437357631,-0.30337886412653003,0.015126210812616002,0.08565641490325701,-0.055616887960615,0.058364273569519995,-0.13824375138244,-0.072241464621474,0.077921029393213,0.07500242836328301,0.0,-0.01457604819444
2016-12-31,,0.011465953854811,0.06675423764340901,-0.33521480087802,-0.046747800345366,-0.046747800345366,-0.33112582781457,-0.3890608875129,0.014477766287487,0.029850746268657004,0.0067928343496256,0.050227861381594,-0.10164271047227999,-0.13333333333333,0.06999911055767999,0.064998667226883,0.015873015873016,0.045112781954887
2017-12-31,,0.011475067807219,0.06632345620791699,-0.56792452830189,-0.020271727409963,-0.020271727409963,-0.7046204620461999,-0.39442567567568,0.0048188305069039,0.025314645308924997,-0.058745998870269,0.041113851340805,-0.10714285714286,-0.076923076923077,0.062501640635254,0.060000848428287006,0.0,-0.022456800914409002
2018-12-31,,0.011482398239823999,0.067013918747927,-1.4912663755459,0.0018049746863306,0.0018049746863306,-0.9608938547486,-0.278940027894,0.013096006640228999,0.021202399218858997,-0.010202040408082,0.037541229385307,-0.048,-0.016666666666667,0.059496162334882,0.05899773485836901,0.0,0.03645367631886701
2019-12-31,,0.011488002175243001,0.066074882564244,1.7622222222222,0.024213394269642998,0.024213394269642998,-61.142857142857,-0.81431334622824,0.00045516613563958,0.019988161908665,-0.0074777687954728,0.033668574070862996,-0.016806722689076,-0.016949152542373,0.05850255533316501,0.058001027904586,0.015625,0.018946180901188
