Date,ODA/AGO_LE_Value,ODA/AGO_LP_Value,ODA/AGO_PPPGDP_Value,ODA/AGO_BCA_NGDPD_Value,ODA/AGO_TX_RPCH_Value,ODA/AGO_TXG_RPCH_Value,ODA/AGO_TM_RPCH_Value,ODA/AGO_TMG_RPCH_Value,ODA/AGO_GGXWDG_NGDP_Value,ODA/AGO_GGXCNL_NGDP_Value,ODA/AGO_GGXONLB_NGDP_Value,ODA/AGO_GGR_NGDP_Value,ODA/AGO_GGX_NGDP_Value,ODA/AGO_NGSD_NGDP_Value,ODA/AGO_PPPEX_Value,ODA/AGO_PCPIPCH_Value,ODA/AGO_PCPIEPCH_Value,ODA/AGO_PCPI_Value,ODA/AGO_PCPIE_Value,ODA/AGO_PPPSH_Value,ODA/AGO_NID_NGDP_Value
2001-12-31,,0.029340193283738,0.054925150498109004,-2.8385841596586,-2.5874384236453,-2.5874384236453,2.4940731399748,0.9912023460410601,-0.023802496205093997,0.3875,0.077923656698274,-0.12586798931705,-0.15481972631451998,-1.1081342356028,1.0385912326714,-0.53054650508109,-0.56747531209242,1.5256931608133,1.1605640209233998,0.012987012987013,0.05455153949129799
2002-12-31,,0.029314420803782996,0.16291283708716,-0.91766794101584,-10.139643134213001,-10.139643134213001,-1.4382849718493,1.4815905743741,-0.30479666544284,-1.8005148005148,-1.0287583173565,-0.23445070053685996,-0.089372153468298,-4.9719029374202,1.1709244624150001,-0.28634999279095,-0.09027466657476599,1.0889929742389002,1.0558947368421001,0.11538461538462,-0.06212313551253599
2003-12-31,,0.029267012271146,0.073454055931909,3.2048092868987994,-1.1240981240981,-1.1240981240981,-3.1116600790513997,5.3920870425321,-0.09840012426219301,0.8909967845659201,15.023529411765,0.063428261923088,0.13082301186205,-0.16248660235798001,0.8127328140873701,-0.09689328055981598,-0.27350127853016,0.9833940582959599,0.76713941938457,0.011494252873563,0.08645630657304801
2004-12-31,,0.029327382849856004,0.1393029794292,-1.68309998028,-5.8679890560876,-5.8679890560876,0.37092497270316993,-0.89004085169596,-0.19800155052115,-1.241285495664,-1.910915320607,-0.0039405961827151,-0.17244413569526001,0.61389813155874,0.36049878572763006,-0.55706615688109,-0.59571639008747,0.43558130497757,0.3101060439242,0.045454545454545005,-0.28622595966674
2005-12-31,,0.029296995973986002,0.22066186130739,4.2534642032333,1.2248840803708998,1.2248840803708998,1.2629423142565,10.424711511399,-0.17170046399725,5.6166314305849,2.0531972058033,0.18752859488118,-0.028037383177569996,1.1390056300056002,0.22862242971405,-0.47287586951031996,-0.40250862541515,0.22961832812462,0.18530641130548,0.1304347826087,-0.04232573360968701
2006-12-31,,0.028342760861716,0.24444767653262,0.40564897241454995,-0.5500015788310301,-0.68518109191954,-0.9725224998743001,-1.0304247142294,-0.51448429679193,0.25796144424326,0.17907426962336997,0.13704249291785,0.10432980193459,0.5195922150139001,0.09672822776675699,-0.42053917512303,-0.34123043712898,0.13304514889528998,0.12208000597059,0.14423076923077,0.7497437065725
2007-12-31,,0.027269003452512996,0.25854935602253,-0.31571540265833004,0.22644024980703,1.2186559679037001,42.705397987191,-35.345748987854,-0.12258960525613001,-0.60579121158242,-0.56616165385477,-0.086681814557921,0.073175182481752,-0.18399160791393002,0.09696074185412598,-0.079368658399098,-0.035307610387483,0.12249187508831,0.11776052145862,0.15966386554622,-0.12082546709199
2008-12-31,,0.026545143833666,0.16049738122655,-0.51176873857404,-0.42121524201854,-0.53404159132007,-0.05587188612099701,-0.15258033335691001,0.011567027882625,-1.9568298969072,-1.4323068983313,0.11166881260502001,0.34559234338183,-0.20640377888726,0.17380803084139998,0.017634092578986002,0.11837635869564998,0.12464005287092,0.13169991520507002,0.10869565217391002,0.20096260644206
2009-12-31,,0.026469119360746002,0.031904422767611004,-2.1736484905218996,-1.2600830367734,-1.3502474046764,-0.85581250970045,-0.48332174154959,2.0017453057294,0.6509539842873199,1.241543971349,-0.32153513937965994,-0.24331154998736,-0.8003767187794301,-0.081178402548325,0.10076213397513001,0.06203492786636299,0.13720058204612,0.13986381680995,0.026143790849673,-0.061039521548801
2010-12-31,,0.030003243593902003,0.046706577539277996,-1.8078763708873,0.23033067274799998,-0.051246537396122005,-4.3133938182377,-2.7153241438725,-0.20197686308318,-1.4690686607749999,-1.8221196520503997,0.25803651514713,-0.045018608645863004,3.2528779014907996,0.20917312661498996,0.05531666788134999,0.09544577107313901,0.14479933069219,0.15321632031737,-0.019108280254777,-0.052268697879047005
2011-12-31,,0.030021518920905,0.060639960882224,0.55090707145502,-0.037071362372567,-0.26744525547445,-1.4710168468928,-1.247072856829,-0.19099062884707,1.5150724637681001,1.0827035197582,0.1231859058396,0.0032476454570435,0.13032481363152001,0.21656516009545002,-0.06878453038674001,-0.2575381803942,0.13484583060174002,0.11375999999999999,0.0,-0.10579921014342
2012-12-31,,0.029961783439490002,0.070437685978123,-0.073923768600302,-1.4388835418672,-1.5388601036269,-0.13420041383387998,1.8148901029093998,-0.08061861432874799,-0.47147631669932,-0.42529808190771995,-0.060182246339714994,0.028636171219402998,0.043654065088525006,0.051818780648467,-0.23724414120439,-0.20516877637130998,0.1028467526564,0.090423430541589,0.019480519480518998,0.15698124903146
2013-12-31,,0.030030178597932,0.08391083617190599,-0.52861316377384,-1.0241228070175,-1.5576923076923002,0.29862296574485,-0.44999097309984004,0.16784326971795,-0.92716964675098,-0.79054663539599,-0.10545581314275998,-0.014234186254811,-0.24103817942449,0.0040637394753323,-0.14613514827419,-0.14985622649855998,0.08782008346643301,0.076864805223678,0.038216560509554,-0.016139833913741998
2014-12-31,,0.029971181556196,0.056801420788056,-0.25136711629603,86.0,3.0503978779841,-0.7955481552887601,-0.6170195306089,0.11173135882455,-13.278443113772,-3.520241171404,-0.087222330475448,0.021021094766827998,-0.064974971502205,0.019959249864858995,-0.17000683215668,-0.042799531676857,0.072891751722831,0.07358810845529201,0.0061349693251534,0.0046286842284392
2015-12-31,,0.030031710501772002,0.078751281759143,-0.50791331872413,-1.9839777081156,-1.8925998690241999,2.0377196742392,1.3265481037068998,-0.016936805682025,0.0078029748841746,-0.10013670539986,-0.012114743162108001,-0.010197945979748001,-0.11698293225909,0.016646962099284,0.00013719303059408998,-0.021473226420223,0.072898502740684,0.071998347648961,0.018292682926829,-0.0081983874246223
2016-12-31,,0.029971024990945,0.08156777423375099,-1.0534388916378001,0.15433628318584,0.12582538517975,-0.35939043318753006,-0.24129673973107,-0.010400677499603,-0.0065327849020083,-0.18154196733764,-0.028092163906971997,-0.025903336330279997,-0.16219460952038,0.0097043255092766,-0.034842249657065005,-0.041666666666667,0.070359271171214,0.06899644553699001,0.023952095808383,-0.0391446918978
2017-12-31,,0.030021978021977997,0.086768224207802,-3.1666666666667003,-0.0021465808034346,0.010426849136527,-1.1936123348018002,-0.50558387958242,0.025379081646297,-0.0073063809059913,-0.15174013921114002,-0.047135988438343,-0.043056352433457,-0.037973776599555996,0.014032672297387,-0.042637862421831006,-0.043478260869565,0.067355189226245,0.06600372902423901,0.023391812865497,-0.061997867045859
2018-12-31,,0.030000426748602,0.08998072611768301,-3.4401709401708995,-0.036877688998156,-0.040632054176072,-4.7565415244596,0.9737294377608601,0.06032549162798,-0.11236506378803,-0.25984682713348,-0.031238150794808,-0.039858189306848,-0.06695464362851,0.016984777670435,-0.044536817102138,-0.045454545454545005,0.064359288338255,0.063001399253731,0.028571428571429,-0.007200788296824
2019-12-31,,0.029996685449122,0.084168353193822,-0.35901926444834004,-0.0025526483726867,0.0013445378151261,-0.43731072077529,-0.83530289837044,0.04712827450498099,-0.0049751243781094,-0.092387287509239,-0.027217438429577998,-0.025032580364900005,-0.013250319284802,0.021412341621844,-0.021131137352392998,0.0,0.062999808254097,0.062997049241469,0.016666666666667,-0.028248587570622
