Date,ODA/HRV_LE_Value,ODA/HRV_LP_Value,ODA/HRV_PPPGDP_Value,ODA/HRV_BCA_NGDPD_Value,ODA/HRV_TX_RPCH_Value,ODA/HRV_TXG_RPCH_Value,ODA/HRV_TM_RPCH_Value,ODA/HRV_TMG_RPCH_Value,ODA/HRV_GGXWDG_NGDP_Value,ODA/HRV_GGXCNL_NGDP_Value,ODA/HRV_GGXONLB_NGDP_Value,ODA/HRV_GGR_NGDP_Value,ODA/HRV_GGSB_NPGDP_Value,ODA/HRV_GGX_NGDP_Value,ODA/HRV_NGSD_NGDP_Value,ODA/HRV_PPPEX_Value,ODA/HRV_PCPIPCH_Value,ODA/HRV_PCPIEPCH_Value,ODA/HRV_PCPI_Value,ODA/HRV_PCPIE_Value,ODA/HRV_PPPSH_Value,ODA/HRV_NID_NGDP_Value,ODA/HRV_LUR_Value
2007-12-31,,-0.0004636068613815,0.078553034947885,0.087406296851574,-0.34108667999272996,-0.3477067469452801,-0.21968669051436998,-0.38766453174643,-0.07202982882323,-0.45536723163842,28.739130434783,0.032471405970381,0.19757453259222002,0.01105958786917,-0.022907337237340997,0.014009526478004998,-0.10467289719626,1.8032945736433998,0.028738486545061,0.057858667565441994,-0.0087719298245614,0.0017060279654781,-0.15902796390601
2008-12-31,,-0.00046382189239347997,0.040861339760789,0.23259340962360003,-0.63430777716492,-0.89086466675716,-0.32105595953209004,-1.2053203755558999,-0.10799951296725,-0.062240663900415,-0.3187134502924,-0.014418850008791999,0.14683544303797,-0.015549505800407001,-0.013220518244315001,0.036474164133738995,1.1106471816284,-0.5117525060490801,0.060655270030064004,0.028249787595582,-0.0088495575221239,0.046284855568542,-0.12015297992139
2009-12-31,,-0.0016241299303944,-0.062403058438012006,-0.42740492170022,-12.938914027149,-20.570895522388,-5.6714784633295,5.7304452466907,0.22239284739285,2.608407079646,-4.5450643776824,-0.0067286861220849,-0.17108167770419003,0.052168713719823,-0.07207931404072901,0.020794454812049997,-0.6081437520606701,-0.33840707964602,0.023762232842985,0.018694484610617998,-0.0625,-0.17343844754397,0.086935522820575
2010-12-31,,-0.0030211480362538,-0.010776238684948999,-0.7800351631178001,-1.3498199734698,-1.5465522720051,-0.84679027113238,0.038619703200429005,0.18983277965439002,0.38473329245861,0.5587167070217901,-0.019655641374355,0.49090102086107,0.011554945185044999,-0.00019251131003936002,-0.0041786367197702,-0.55952881783761,0.025147137506688,0.010468558956378,0.01916252661462,-0.076190476190476,-0.15434220179944,0.34403465896467
2011-12-31,,-0.0020979020979022,0.018242415677406996,-0.21847246891652,-0.70296135789094,-0.89209302325581,-1.6112556929083002,-0.71245768061055,0.11320710447900999,0.0077485056453397,-0.092427184466019,-0.020468525062165,0.13664781184876,-0.017462138058566,-0.0088090882834312,-0.0028848675583529994,1.1604584527221002,0.069415448851775,0.022620226202262003,0.020493434142459,-0.041237113402062,-0.01958904109589,0.12273741631539999
2012-12-31,,0.0,-0.0043487815315576,-0.85,-0.83100303951368,-4.0043103448276005,-2.281000532198,-1.4386350029933999,0.14275175989546,-0.27086994727592,-0.7081728712024,0.030649600513052995,-0.46490309062336,-0.0020488385944014,-0.011218493516584998,-0.00078905839032091,0.51503094606543,1.2835529526598,0.03426526241675701,0.046792747124196,-0.053763440860215,-0.045596385822738,0.18242049469965
2013-12-31,,0.0,0.0056339664285299,-7.6893939393939,12.697841726619,-1.8622668579626998,-0.65891150810137,-0.9112829845313901,0.11057009535403,0.6486893642663499,2.5234604105572003,-0.01309307752139,1.1350954478708,0.039342070710687994,0.046660117878192,-0.006054224795999001,-0.36037350452290995,-0.93631117760205,0.021916513024156998,0.0029800707766809995,-0.034090909090909,-0.0031719695490924,0.034864898518242
2014-12-31,,0.0,0.0084324823841978,1.4654586636467002,-0.5840336134453801,0.12936772046589,-0.27405602923264,-2.4307692307692004,0.10095658816886001,-0.14729532163742998,-0.48772367873490996,0.05361880993038201,-0.24323704722604,0.028343707650964,-0.00037541060534956,-0.021716101694915002,-1.1505474452555,-1.3892617449664,-0.0032937649769158,-0.0011606313834726,-0.035294117647058997,-0.063788123561952,0.0099867645289376
2015-12-31,,0.0,0.023562428407788997,0.017914561322922,1.7619949494948999,-0.75580110497238,-3.8523489932886,-1.0215053763441,0.033125669376857,-0.37912558936991,-1.5987002437042999,0.01436194085673,-0.23598909421387,-0.026624377387148,0.015867054736643998,-0.010286951813751999,-1.5424242424241998,-4.4827586206897,0.001791565717044,0.0040343946084127,-0.036585365853659,0.015687094750052,0.020014295925661
2016-12-31,,0.0,0.03310317042873,-0.20442238267148,0.12205714285714,6.337858220211201,1.9341176470588002,855.83333333333,0.014819898085824,-0.072833966171902,0.41926729986431005,-0.0048178555626568,-0.29024583663759,-0.0093393607012553,-0.011876155268022,-0.0057439824945296,4.7374301675978,2.2623762376238,0.010276130467013,0.013174828023591002,-0.025316455696203,0.01009060955519,-0.019971969166083
2017-12-31,,0.0,0.042387477658019,-0.69483834373227,0.013240985944183997,0.33360739979445003,0.27546110665596996,0.26551254619723996,0.0008632596685081201,0.0044676098287416,0.08317399617590801,0.0020253914933557,0.20502793296089,0.002177337162976,-0.013141280456437001,-0.0005502063273727,0.46056475170399,0.20713201820941002,0.015005182107512999,0.015909423203451,-0.012987012987013,0.04811416921508701,-0.09003694434513199
2018-12-31,,0.0,0.04361516398553399,-2.5966542750928996,0.043626859670285005,-0.12207151664612,0.1474379126061,0.14755610205964,-0.0041400724512679,0.010378057820608,0.04766107678729001,0.0017008479589825,0.17107093184979,0.0022650580132205,-0.024357880769595,0.0038535645472061,0.6666666666666701,0.57133878064111,0.02500338860525,0.024997076628317995,-0.026315789473683997,0.04293911690332601,-0.08997446139742
2019-12-31,,0.0,0.041055514065223,0.7299185098952299,0.05875553843190099,0.032654494382022003,-0.013698630136986,-0.02022502009108,-0.0039984987585888,0.0014673514306676,0.030328559393429003,0.0036173930162167,0.070071258907363,0.0034590904898073,-0.0099572566543619,0.0041129695640253,0.0,0.0,0.024992947316453996,0.025001755124964997,-0.013513513513513998,0.019723038187159,-0.09001942865366601
